# ell  Dl_TT  Dl_EE  Dl_TE
     956    5.091188e+02    2.049840e+01    4.719003e+01
     964    5.699740e+02    1.369886e+01    2.743490e+01
     972    4.890735e+02    1.946393e+01    4.693904e+01
     980    4.529035e+02    1.304682e+01    1.808470e+01
     988    4.012756e+02    1.629216e+01    3.672301e+01
     996    4.087032e+02    1.178460e+01    8.494904e+00
    1004    3.412798e+02    1.208823e+01    2.048616e+01
    1012    4.252491e+02    9.485966e+00    6.416654e+00
    1020    3.552093e+02    9.223142e+00    1.399484e+01
    1028    3.953997e+02    9.012726e+00    4.365957e+00
    1036    3.726954e+02    8.191409e+00    1.514455e+00
    1044    4.295291e+02    7.720272e+00   -5.280956e+00
    1052    4.224463e+02    5.833917e+00    1.414314e+00
    1060    3.948469e+02    6.141679e+00   -2.057953e+00
    1068    4.538816e+02    6.237959e+00    6.593783e+00
    1076    4.463455e+02    5.729173e+00   -1.124300e+01
    1084    4.340049e+02    5.979205e+00    1.098850e+01
    1092    4.911958e+02    4.493794e+00    1.235328e+00
    1100    3.654375e+02    7.004233e+00    7.469205e+00
    1108    5.397720e+02    5.706885e+00    6.871160e+00
    1116    3.612598e+02    5.821098e+00    9.327887e+00
    1124    4.382092e+02    6.427265e+00    1.050670e+01
    1132    4.071238e+02    7.567623e+00    1.285294e+01
    1140    4.863483e+02    4.416548e+00    7.594448e+00
    1148    3.378051e+02    8.303914e+00    1.063979e+01
    1156    5.778761e+02    6.150529e+00    1.984978e+01
    1164    4.119626e+02    5.583349e+00    1.012683e+01
    1172    5.526573e+02    8.339622e+00    2.934320e+01
    1180    4.629093e+02    8.150140e+00    2.456334e+01
    1188    5.404445e+02    8.154941e+00    4.262139e+01
    1196    4.217631e+02    8.891510e+00    1.665794e+01
    1204    4.069389e+02    1.217077e+01    3.546054e+01
    1212    3.591954e+02    7.408674e+00    2.085660e+01
    1220    3.768427e+02    8.236328e+00    1.706370e+01
    1228    3.746411e+02    8.151419e+00    1.568646e+01
    1236    2.859348e+02    9.187569e+00    2.030404e+01
    1244    3.922325e+02    9.632113e+00    3.946610e+01
    1252    2.890303e+02    9.268412e+00    1.634237e+01
    1260    3.314028e+02    1.337110e+01    2.293831e+01
    1268    2.162111e+02    9.442865e+00    4.874324e+00
    1276    2.338003e+02    9.133433e+00    1.590255e+01
    1284    2.734466e+02    6.208269e+00    1.313337e+01
    1292    2.688921e+02    7.419807e+00    8.406787e+00
    1300    2.392808e+02    1.099863e+01    1.249049e+01
    1308    1.925956e+02    8.724893e+00    2.905363e+00
    1316    1.672035e+02    1.019178e+01    1.272150e+00
    1324    2.463933e+02    5.263582e+00    2.445284e+00
    1332    2.421436e+02    6.021780e+00   -3.362547e+00
    1340    2.508527e+02    6.977219e+00    9.811098e+00
    1348    2.034168e+02    6.421589e+00   -6.815260e+00
    1356    1.729506e+02    8.012376e+00   -7.504250e+00
    1364    2.448906e+02    4.087548e+00   -7.228939e+00
    1372    2.525500e+02    4.967965e+00   -3.468976e+00
    1380    2.036946e+02    5.176777e+00    4.207118e+00
    1388    2.596261e+02    5.061860e+00   -4.676970e+00
    1396    3.025752e+02    4.531278e+00   -8.377059e+00
    1404    3.199622e+02    3.660436e+00    1.978783e+00
    1412    2.892889e+02    3.067377e+00   -3.729729e+00
    1420    1.940747e+02    3.581163e+00   -4.628284e+00
    1428    3.270506e+02    2.656816e+00   -6.695683e-01
    1436    3.233218e+02    2.934955e+00   -3.941444e+00
    1444    2.395848e+02    4.066917e+00    6.753010e+00
    1452    3.025401e+02    3.629699e+00    4.504224e+00
    1460    2.630162e+02    4.393297e+00    3.651203e+00
    1468    3.496750e+02    4.768824e+00    1.655823e+01
    1476    3.197045e+02    3.912455e+00    8.812225e+00
    1484    2.153839e+02    3.648568e+00    5.733817e+00
    1492    3.688440e+02    4.031427e+00    2.027924e+01
    1500    2.889480e+02    3.587300e+00    1.447948e+01
    1512    3.043002e+02    6.020941e+00    1.875257e+01
    1524    2.426054e+02    4.019184e+00    1.342631e+01
    1536    2.895159e+02    6.734456e+00    2.293303e+01
    1548    1.786883e+02    4.455866e+00    1.177198e+01
    1560    2.356123e+02    6.330463e+00    2.050691e+01
    1572    1.450760e+02    4.049113e+00    6.196910e+00
    1584    1.646320e+02    5.804536e+00    1.939524e+01
    1596    1.314167e+02    3.119284e+00    2.049671e+00
