# k[h/Mpc]  P(k)[(Mpc/h)^3]  k[1/Mpc]  P(k)[Mpc^3]
1.84029575e-04 7.70756440e+10 1.23962322e-04 2.52180166e+11
1.84846459e-04 7.60463751e+10 1.24512575e-04 2.48812550e+11
1.85666968e-04 7.50308488e+10 1.25065270e-04 2.45489897e+11
1.86491120e-04 7.40288802e+10 1.25620418e-04 2.42211604e+11
1.87318930e-04 7.30402874e+10 1.26178031e-04 2.38977073e+11
1.88150414e-04 7.20648906e+10 1.26738119e-04 2.35785718e+11
1.88985589e-04 7.11025126e+10 1.27300693e-04 2.32636959e+11
1.89824472e-04 7.01529794e+10 1.27865764e-04 2.29530226e+11
1.90667078e-04 6.92161214e+10 1.28433344e-04 2.26464965e+11
1.91513424e-04 6.82917720e+10 1.29003442e-04 2.23440630e+11
1.92363527e-04 6.73797667e+10 1.29576072e-04 2.20456682e+11
1.93217404e-04 6.64799429e+10 1.30151243e-04 2.17512591e+11
1.94075071e-04 6.55921403e+10 1.30728968e-04 2.14607832e+11
1.94936545e-04 6.47162004e+10 1.31309257e-04 2.11741885e+11
1.95801843e-04 6.38519670e+10 1.31892121e-04 2.08914241e+11
1.96670982e-04 6.29992857e+10 1.32477573e-04 2.06124393e+11
1.97543979e-04 6.21580042e+10 1.33065624e-04 2.03371844e+11
1.98420851e-04 6.13279711e+10 1.33656285e-04 2.00656098e+11
1.99301615e-04 6.05090332e+10 1.34249568e-04 1.97976653e+11
2.00186289e-04 5.97010386e+10 1.34845484e-04 1.95333014e+11
2.01074890e-04 5.89038376e+10 1.35444046e-04 1.92724689e+11
2.01967435e-04 5.81172825e+10 1.36045264e-04 1.90151197e+11
2.02863942e-04 5.73412279e+10 1.36649152e-04 1.87612061e+11
2.03764429e-04 5.65755303e+10 1.37255719e-04 1.85106811e+11
2.04668913e-04 5.58200484e+10 1.37864980e-04 1.82634985e+11
2.05577412e-04 5.50746427e+10 1.38476944e-04 1.80196127e+11
2.06489943e-04 5.43391759e+10 1.39091626e-04 1.77789788e+11
2.07406525e-04 5.36135135e+10 1.39709035e-04 1.75415527e+11
2.08327176e-04 5.28975264e+10 1.40329185e-04 1.73072923e+11
2.09251913e-04 5.21910886e+10 1.40952088e-04 1.70761562e+11
2.10180755e-04 5.14940753e+10 1.41577756e-04 1.68481038e+11
2.11113720e-04 5.08063635e+10 1.42206202e-04 1.66230946e+11
2.12050826e-04 5.01278317e+10 1.42837437e-04 1.64010890e+11
2.12992092e-04 4.94583599e+10 1.43471473e-04 1.61820476e+11
2.13937537e-04 4.87978294e+10 1.44108325e-04 1.59659318e+11
2.14887177e-04 4.81461234e+10 1.44748003e-04 1.57527031e+11
2.15841034e-04 4.75031262e+10 1.45390520e-04 1.55423239e+11
2.16799124e-04 4.68687230e+10 1.46035890e-04 1.53347566e+11
2.17761467e-04 4.62427975e+10 1.46684124e-04 1.51299629e+11
2.18728082e-04 4.56252337e+10 1.47335236e-04 1.49279051e+11
2.19698987e-04 4.50159175e+10 1.47989238e-04 1.47285458e+11
2.20674203e-04 4.44147361e+10 1.48646143e-04 1.45318481e+11
2.21653747e-04 4.38215786e+10 1.49305964e-04 1.43377757e+11
2.22637639e-04 4.32363357e+10 1.49968714e-04 1.41462928e+11
2.23625898e-04 4.26588993e+10 1.50634405e-04 1.39573642e+11
2.24618545e-04 4.20891633e+10 1.51303052e-04 1.37709549e+11
2.25615597e-04 4.15270227e+10 1.51974666e-04 1.35870308e+11
2.26617076e-04 4.09723749e+10 1.52649262e-04 1.34055582e+11
2.27622999e-04 4.04251219e+10 1.53326852e-04 1.32265051e+11
2.28633388e-04 3.98851683e+10 1.54007450e-04 1.30498402e+11
2.29648262e-04 3.93524199e+10 1.54691069e-04 1.28755328e+11
2.30667641e-04 3.88267835e+10 1.55377723e-04 1.27035523e+11
2.31691544e-04 3.83081672e+10 1.56067424e-04 1.25338687e+11
2.32719993e-04 3.77964801e+10 1.56760187e-04 1.23664522e+11
2.33753007e-04 3.72916324e+10 1.57456025e-04 1.22012734e+11
2.34790606e-04 3.67935353e+10 1.58154952e-04 1.20383034e+11
2.35832811e-04 3.63021012e+10 1.58856982e-04 1.18775134e+11
2.36879642e-04 3.58172433e+10 1.59562127e-04 1.17188750e+11
2.37931120e-04 3.53388726e+10 1.60270403e-04 1.15623591e+11
2.38987265e-04 3.48669005e+10 1.60981822e-04 1.14079368e+11
2.40048099e-04 3.44012396e+10 1.61696399e-04 1.12555794e+11
2.41113641e-04 3.39418036e+10 1.62414149e-04 1.11052587e+11
2.42183913e-04 3.34885076e+10 1.63135084e-04 1.09569469e+11
2.43258936e-04 3.30412677e+10 1.63859219e-04 1.08106166e+11
2.44338731e-04 3.26000013e+10 1.64586569e-04 1.06662408e+11
2.45423319e-04 3.21646271e+10 1.65317148e-04 1.05237927e+11
2.46512721e-04 3.17350648e+10 1.66050969e-04 1.03832463e+11
2.47606959e-04 3.13112354e+10 1.66788048e-04 1.02445755e+11
2.48706054e-04 3.08930622e+10 1.67528398e-04 1.01077554e+11
2.49810028e-04 3.04804704e+10 1.68272035e-04 9.97276143e+10
2.50918902e-04 3.00733859e+10 1.69018972e-04 9.83956936e+10
2.52032698e-04 2.96717356e+10 1.69769226e-04 9.70815530e+10
2.53151439e-04 2.92754475e+10 1.70522809e-04 9.57849567e+10
2.54275145e-04 2.88844505e+10 1.71279738e-04 9.45056720e+10
2.55403839e-04 2.84986743e+10 1.72040026e-04 9.32434692e+10
2.56537544e-04 2.81180498e+10 1.72803690e-04 9.19981215e+10
2.57676281e-04 2.77425084e+10 1.73570743e-04 9.07694054e+10
2.58820072e-04 2.73719827e+10 1.74341201e-04 8.95570999e+10
2.59968941e-04 2.70064059e+10 1.75115079e-04 8.83609863e+10
2.61122909e-04 2.66457118e+10 1.75892392e-04 8.71808482e+10
2.62282000e-04 2.62898352e+10 1.76673155e-04 8.60164724e+10
2.63446236e-04 2.59387117e+10 1.77457384e-04 8.48676482e+10
2.64615639e-04 2.55922780e+10 1.78245094e-04 8.37341680e+10
2.65790234e-04 2.52504713e+10 1.79036301e-04 8.26158267e+10
2.66970042e-04 2.49132298e+10 1.79831020e-04 8.15124222e+10
2.68155087e-04 2.45804926e+10 1.80629267e-04 8.04237550e+10
2.69345393e-04 2.42521995e+10 1.81431056e-04 7.93496281e+10
2.70540982e-04 2.39282910e+10 1.82236405e-04 7.82898474e+10
2.71741878e-04 2.36087086e+10 1.83045329e-04 7.72442208e+10
2.72948105e-04 2.32933943e+10 1.83857843e-04 7.62125586e+10
2.74159686e-04 2.29822907e+10 1.84673965e-04 7.51946737e+10
2.75376645e-04 2.26753417e+10 1.85493708e-04 7.41903814e+10
2.76599006e-04 2.23724913e+10 1.86317091e-04 7.31994997e+10
2.77826793e-04 2.20736848e+10 1.87144128e-04 7.22218488e+10
2.79060030e-04 2.17788680e+10 1.87974836e-04 7.12572516e+10
2.80298742e-04 2.14879874e+10 1.88809232e-04 7.03055332e+10
2.81542951e-04 2.12009904e+10 1.89647332e-04 6.93665210e+10
2.82792684e-04 2.09178248e+10 1.90489152e-04 6.84400450e+10
