# ell  Dl_TT[uK2]  Dl_EE[uK2]  Dl_TE[uK2]
    1644    9.182379e+02    3.402651e+01    8.930764e+01
    1656    1.111404e+03    2.538498e+01    4.382873e+01
    1668    9.140183e+02    3.145144e+01    8.328477e+01
    1680    1.069697e+03    2.122397e+01    2.539163e+01
    1692    8.103239e+02    2.450085e+01    7.872517e+01
    1704    1.025705e+03    1.563536e+01    1.918343e+01
    1716    8.288121e+02    2.347506e+01    5.446549e+01
    1728    1.035459e+03    1.473402e+01    1.152692e+01
    1740    8.270833e+02    2.389905e+01    1.456428e+01
    1752    9.753873e+02    1.245623e+01    4.263236e+00
    1764    7.645842e+02    1.900333e+01    3.956192e+00
    1776    1.119151e+03    1.622053e+01   -1.195593e+01
    1788    6.809944e+02    1.354081e+01    6.581744e-01
    1800    1.143986e+03    1.291186e+01   -1.403305e+01
    1812    5.521746e+02    1.273940e+01    1.451798e+00
    1824    1.043351e+03    7.018910e+00    2.267667e+01
    1836    4.166092e+02    1.110189e+01    1.529067e+00
    1848    7.640204e+02    1.092472e+01    4.214879e+01
    1860    3.621277e+02    1.224327e+01    1.848628e+01
    1872    4.929261e+02    1.280589e+01    2.985301e+01
    1884    3.859201e+02    1.417661e+01    1.178599e-01
    1896    3.741514e+02    1.665641e+01    3.311374e+01
    1908    3.982418e+02    5.417517e+00    4.312839e+00
    1920    3.405878e+02    1.169709e+01    3.099092e+01
    1932    4.097959e+02    1.363764e+01    4.488699e+01
    1944    2.046113e+02    1.696694e+01    3.307557e+01
    1956    3.526018e+02    2.004753e+01    5.754349e+01
    1968    2.047681e+02    1.274211e+01    1.643434e+01
    1980    2.460331e+02    2.270196e+01    4.796551e+01
    1992    2.100246e+02    1.445240e+01    3.475544e+01
    2004    2.659681e+02    2.425799e+01    5.039063e+01
    2016    3.233428e+02    2.963700e+01    7.072541e+01
    2028    1.985474e+02    2.282472e+01    3.606231e+01
    2040    2.966143e+02    3.874860e+01    6.967347e+01
    2052    2.655675e+02    1.540468e+01    3.508477e+01
    2064    3.730586e+02    3.644521e+01    6.410148e+01
    2076    3.507210e+02    3.890982e+01    7.097594e+01
    2088    2.492680e+02    2.955648e+01    3.903651e+01
    2100    2.591672e+02    5.077715e+01    8.152566e+01
    2112    2.497108e+02    1.630829e+01    3.639314e+01
    2124    4.294088e+02    4.526444e+01    9.140237e+01
    2136    5.455906e+02    4.800573e+01    1.052679e+02
    2148    3.465406e+02    2.500772e+01    2.835065e+01
    2160    4.227920e+02    4.879145e+01    8.672133e+01
    2172    3.220364e+02    1.873332e+01    4.259733e+01
    2184    4.857754e+02    3.944471e+01    9.728596e+01
    2196    5.857797e+02    4.750994e+01    1.215905e+02
    2208    3.673470e+02    1.327276e+01    5.976238e+00
    2220    6.275478e+02    3.864039e+01    1.019243e+02
    2232    7.645499e+02    2.581765e+01    7.582536e+01
    2244    4.398759e+02    2.152262e+01    4.568413e+01
    2256    6.723693e+02    3.546530e+01    7.612142e+01
    2268    4.391516e+02    1.038561e+01    1.848582e+01
    2280    6.120549e+02    2.312021e+01    7.683394e+01
    2292    6.928821e+02    2.249129e+01    8.175559e+01
    2304    2.075134e+02    9.610967e+00    4.603603e+00
    2316    7.801008e+02    1.904144e+01    6.373379e+01
    2328    7.617976e+02    1.063626e+01    5.660075e+01
    2340    2.489132e+02    1.164224e+01    6.742519e+00
    2352    7.740856e+02    1.574579e+01    3.656421e+01
    2364    6.952134e+02    6.991378e+00    8.676436e+00
    2376    3.734726e+02    1.270103e+01    1.578853e+01
    2388    6.763280e+02    1.249791e+01    1.768591e+01
    2400    4.796829e+02    7.503217e+00   -2.261473e+01
    2412    4.288662e+02    1.093089e+01    1.842858e+01
    2424    5.653378e+02    1.143564e+01    1.472080e+01
    2436    3.399891e+02    9.764306e+00   -1.918657e+01
    2448    4.152278e+02    9.424341e+00    2.145608e+01
    2460    4.501858e+02    1.116749e+01    1.658967e+01
    2472    2.320330e+02    9.568102e+00   -1.402844e+01
    2484    3.567419e+02    9.248641e+00    2.864599e+01
    2496    3.593390e+02    1.068128e+01    2.133077e+01
