# ell  Dl_CLASS  Dl_mlx_final  residual_pct
   391  1.791867e+03  2.030484e+03  +13.3167
   392  1.783495e+03  2.023247e+03  +13.4429
   393  1.775564e+03  2.010904e+03  +13.2544
   394  1.768072e+03  1.994174e+03  +12.7881
   395  1.761017e+03  1.974355e+03  +12.1145
   396  1.754398e+03  1.952744e+03  +11.3057
   397  1.748212e+03  1.930746e+03  +10.4412
   398  1.742456e+03  1.910192e+03  +9.6264
   399  1.737129e+03  1.893023e+03  +8.9742
   400  1.732227e+03  1.881177e+03  +8.5988
   401  1.727747e+03  1.875907e+03  +8.5753
   402  1.723687e+03  1.875719e+03  +8.8202
   403  1.720042e+03  1.878430e+03  +9.2083
   404  1.716811e+03  1.881857e+03  +9.6135
   405  1.713988e+03  1.883956e+03  +9.9165
   406  1.711571e+03  1.883226e+03  +10.0291
   407  1.709555e+03  1.878304e+03  +9.8709
   408  1.707937e+03  1.867824e+03  +9.3615
   409  1.706711e+03  1.851171e+03  +8.4642
   410  1.705874e+03  1.830711e+03  +7.3181
   411  1.705420e+03  1.809559e+03  +6.1063
   412  1.705346e+03  1.790828e+03  +5.0126
   413  1.705645e+03  1.777122e+03  +4.1906
   414  1.706313e+03  1.768994e+03  +3.6735
   415  1.707344e+03  1.766488e+03  +3.4641
   416  1.708734e+03  1.769649e+03  +3.5649
   417  1.710474e+03  1.777915e+03  +3.9428
   418  1.712561e+03  1.788317e+03  +4.4235
   419  1.714988e+03  1.797279e+03  +4.7983
   420  1.717748e+03  1.801228e+03  +4.8599
   421  1.720835e+03  1.797586e+03  +4.4601
   422  1.724242e+03  1.787755e+03  +3.6835
   423  1.727963e+03  1.774134e+03  +2.6720
   424  1.731989e+03  1.759121e+03  +1.5665
   425  1.736314e+03  1.745099e+03  +0.5059
   426  1.740930e+03  1.734384e+03  -0.3760
   427  1.745831e+03  1.729277e+03  -0.9482
   428  1.751010e+03  1.732079e+03  -1.0812
   429  1.756464e+03  1.743890e+03  -0.7159
   430  1.762188e+03  1.761019e+03  -0.0663
   431  1.768177e+03  1.778572e+03  +0.5879
   432  1.774427e+03  1.791658e+03  +0.9711
   433  1.780932e+03  1.796511e+03  +0.8748
   434  1.787687e+03  1.793873e+03  +0.3460
   435  1.794686e+03  1.785609e+03  -0.5058
   436  1.801926e+03  1.773589e+03  -1.5726
   437  1.809399e+03  1.759968e+03  -2.7319
   438  1.817100e+03  1.748062e+03  -3.7993
   439  1.825023e+03  1.741478e+03  -4.5778
   440  1.833162e+03  1.743820e+03  -4.8737
   441  1.841511e+03  1.757149e+03  -4.5811
   442  1.850064e+03  1.777348e+03  -3.9304
   443  1.858814e+03  1.798754e+03  -3.2311
   444  1.867754e+03  1.815704e+03  -2.7868
   445  1.876877e+03  1.823827e+03  -2.8265
   446  1.886178e+03  1.823918e+03  -3.3008
   447  1.895648e+03  1.818065e+03  -4.0927
   448  1.905280e+03  1.808355e+03  -5.0872
   449  1.915067e+03  1.797181e+03  -6.1557
   450  1.925001e+03  1.788164e+03  -7.1084
   451  1.935075e+03  1.785230e+03  -7.7437
   452  1.945281e+03  1.792305e+03  -7.8640
   453  1.955611e+03  1.811510e+03  -7.3686
   454  1.966055e+03  1.837742e+03  -6.5264
   455  1.976607e+03  1.864092e+03  -5.6923
   456  1.987258e+03  1.883651e+03  -5.2135
   457  1.997998e+03  1.891371e+03  -5.3367
   458  2.008819e+03  1.889648e+03  -5.9324
   459  2.019712e+03  1.882741e+03  -6.7817
   460  2.030668e+03  1.874906e+03  -7.6705
   461  2.041678e+03  1.869998e+03  -8.4087
   462  2.052731e+03  1.870261e+03  -8.8891
   463  2.063819e+03  1.877535e+03  -9.0262
   464  2.074931e+03  1.893660e+03  -8.7362
   465  2.086057e+03  1.919032e+03  -8.0067
   466  2.097188e+03  1.948275e+03  -7.1006
   467  2.108320e+03  1.974567e+03  -6.3440
   468  2.119447e+03  1.991088e+03  -6.0562
   469  2.130566e+03  1.993338e+03  -6.4409
   470  2.141672e+03  1.986099e+03  -7.2641
   471  2.152761e+03  1.976476e+03  -8.1888
   472  2.163829e+03  1.971570e+03  -8.8851
   473  2.174871e+03  1.976850e+03  -9.1049
   474  2.185882e+03  1.991239e+03  -8.9045
   475  2.196858e+03  2.012025e+03  -8.4135
   476  2.207795e+03  2.036495e+03  -7.7589
   477  2.218686e+03  2.061791e+03  -7.0715
   478  2.229528e+03  2.084480e+03  -6.5058
   479  2.240316e+03  2.100982e+03  -6.2194
   480  2.251044e+03  2.107719e+03  -6.3671
   481  2.261708e+03  2.103049e+03  -7.0150
   482  2.272303e+03  2.093090e+03  -7.8868
   483  2.282822e+03  2.085895e+03  -8.6265
   484  2.293262e+03  2.089519e+03  -8.8844
   485  2.303616e+03  2.109267e+03  -8.4367
   486  2.313880e+03  2.139437e+03  -7.5390
   487  2.324047e+03  2.171578e+03  -6.5605
   488  2.334113e+03  2.197238e+03  -5.8641
   489  2.344071e+03  2.210172e+03  -5.7122
   490  2.353916e+03  2.212960e+03  -5.9881
   491  2.363642e+03  2.210389e+03  -6.4838
   492  2.373243e+03  2.207245e+03  -6.9946
   493  2.382714e+03  2.207596e+03  -7.3495
   494  2.392049e+03  2.212629e+03  -7.5007
   495  2.401240e+03  2.222811e+03  -7.4307
   496  2.410283e+03  2.238609e+03  -7.1226
   497  2.419170e+03  2.259956e+03  -6.5814
   498  2.427897e+03  2.284645e+03  -5.9002
   499  2.436455e+03  2.309935e+03  -5.1928
   500  2.444840e+03  2.333083e+03  -4.5711
   501  2.453043e+03  2.351913e+03  -4.1226
   502  2.461060e+03  2.366507e+03  -3.8419
   503  2.468882e+03  2.377513e+03  -3.7008
   504  2.476504e+03  2.385577e+03  -3.6716
   505  2.483919e+03  2.391348e+03  -3.7268
   506  2.491125e+03  2.395472e+03  -3.8398
   507  2.498122e+03  2.398596e+03  -3.9840
   508  2.504908e+03  2.401369e+03  -4.1334
   509  2.511482e+03  2.404322e+03  -4.2668
   510  2.517844e+03  2.407525e+03  -4.3815
   511  2.523992e+03  2.410931e+03  -4.4794
   512  2.529925e+03  2.414496e+03  -4.5625
   513  2.535642e+03  2.418174e+03  -4.6327
   514  2.541143e+03  2.421918e+03  -4.6918
   515  2.546426e+03  2.425684e+03  -4.7416
   516  2.551490e+03  2.429425e+03  -4.7841
   517  2.556335e+03  2.433115e+03  -4.8202
   518  2.560960e+03  2.436811e+03  -4.8478
   519  2.565363e+03  2.440586e+03  -4.8639
   520  2.569545e+03  2.444516e+03  -4.8658
   521  2.573503e+03  2.448676e+03  -4.8505
   522  2.577238e+03  2.453141e+03  -4.8151
   523  2.580748e+03  2.457986e+03  -4.7568
   524  2.584032e+03  2.463286e+03  -4.6728
   525  2.587090e+03  2.469091e+03  -4.5611
   526  2.589922e+03  2.475348e+03  -4.4238
   527  2.592525e+03  2.481982e+03  -4.2639
   528  2.594900e+03  2.488913e+03  -4.0844
   529  2.597046e+03  2.496066e+03  -3.8883
   530  2.598962e+03  2.503363e+03  -3.6784
   531  2.600647e+03  2.510726e+03  -3.4576
   532  2.602101e+03  2.518079e+03  -3.2290
   533  2.603323e+03  2.525353e+03  -2.9950
   534  2.604312e+03  2.532512e+03  -2.7570
   535  2.605068e+03  2.539527e+03  -2.5159
   536  2.605590e+03  2.546372e+03  -2.2727
   537  2.605878e+03  2.553019e+03  -2.0284
   538  2.605931e+03  2.559441e+03  -1.7840
   539  2.605748e+03  2.565609e+03  -1.5404
   540  2.605329e+03  2.571497e+03  -1.2986
   541  2.604673e+03  2.577076e+03  -1.0595
   542  2.603780e+03  2.582324e+03  -0.8240
   543  2.602649e+03  2.587216e+03  -0.5930
   544  2.601281e+03  2.591729e+03  -0.3672
   545  2.599677e+03  2.595840e+03  -0.1476
   546  2.597839e+03  2.599525e+03  +0.0649
   547  2.595770e+03  2.602760e+03  +0.2693
   548  2.593473e+03  2.605523e+03  +0.4646
   549  2.590950e+03  2.607792e+03  +0.6500
   550  2.588204e+03  2.609560e+03  +0.8251
   551  2.585238e+03  2.610822e+03  +0.9896
   552  2.582053e+03  2.611574e+03  +1.1433
   553  2.578654e+03  2.611811e+03  +1.2858
   554  2.575042e+03  2.611528e+03  +1.4169
   555  2.571222e+03  2.610721e+03  +1.5362
   556  2.567195e+03  2.609385e+03  +1.6434
   557  2.562965e+03  2.607525e+03  +1.7386
   558  2.558536e+03  2.605181e+03  +1.8231
   559  2.553909e+03  2.602404e+03  +1.8989
   560  2.549089e+03  2.599245e+03  +1.9676
   561  2.544079e+03  2.595753e+03  +2.0311
   562  2.538882e+03  2.591978e+03  +2.0913
   563  2.533502e+03  2.587972e+03  +2.1500
   564  2.527942e+03  2.583783e+03  +2.2090
   565  2.522206e+03  2.579453e+03  +2.2697
   566  2.516297e+03  2.574983e+03  +2.3322
   567  2.510219e+03  2.570363e+03  +2.3960
   568  2.503976e+03  2.565586e+03  +2.4605
   569  2.497572e+03  2.560642e+03  +2.5252
   570  2.491011e+03  2.555522e+03  +2.5898
   571  2.484296e+03  2.550219e+03  +2.6536
   572  2.477431e+03  2.544722e+03  +2.7162
   573  2.470422e+03  2.539027e+03  +2.7771
   574  2.463271e+03  2.533139e+03  +2.8364
   575  2.455983e+03  2.527066e+03  +2.8943
   576  2.448563e+03  2.520817e+03  +2.9509
   577  2.441015e+03  2.514400e+03  +3.0063
   578  2.433343e+03  2.507825e+03  +3.0609
   579  2.425552e+03  2.501098e+03  +3.1146
   580  2.417646e+03  2.494229e+03  +3.1677
   581  2.409631e+03  2.487230e+03  +3.2204
   582  2.401510e+03  2.480124e+03  +3.2735
   583  2.393288e+03  2.472937e+03  +3.3280
   584  2.384970e+03  2.465696e+03  +3.3848
