# ell  C_l  D_l[muK^2]
  1260  2.31976675e-16  4.35755077e+02
  1268  2.11624181e-16  4.02586001e+02
  1276  1.93033885e-16  3.71866990e+02
  1284  1.76466040e-16  3.44224514e+02
  1292  1.62124885e-16  3.20201399e+02
  1300  1.50144041e-16  3.00221129e+02
  1308  1.40590105e-16  2.84586733e+02
  1316  1.33457241e-16  2.73461574e+02
  1324  1.28679975e-16  2.66886948e+02
  1332  1.26132298e-16  2.64772690e+02
  1340  1.25635857e-16  2.66906831e+02
  1348  1.26973825e-16  2.72978567e+02
  1356  1.29891523e-16  2.82574424e+02
  1364  1.34108238e-16  2.95199069e+02
  1372  1.39321078e-16  3.10280140e+02
  1380  1.45216586e-16  3.27191107e+02
  1388  1.51481612e-16  3.45274205e+02
  1396  1.57811450e-16  3.63858762e+02
  1404  1.63915857e-16  3.82275888e+02
  1412  1.69532586e-16  3.99891846e+02
  1420  1.74427946e-16  4.16112722e+02
  1428  1.78404276e-16  4.30405885e+02
  1436  1.81295028e-16  4.42292531e+02
  1444  1.82969625e-16  4.51363611e+02
  1452  1.83338032e-16  4.57295891e+02
  1460  1.82352456e-16  4.59861649e+02
  1468  1.80014526e-16  4.58952676e+02
  1476  1.76374044e-16  4.54583879e+02
  1484  1.71516721e-16  4.46868069e+02
  1492  1.65555991e-16  4.35999545e+02
  1500  1.58623648e-16  4.22233211e+02
  1512  1.46738347e-16  3.96868697e+02
  1524  1.33581741e-16  3.67040861e+02
  1536  1.19783177e-16  3.34328513e+02
  1548  1.06015372e-16  3.00540994e+02
  1560  9.29027192e-17  2.67465907e+02
  1572  8.09752446e-17  2.36726042e+02
  1584  7.06518387e-17  2.09710616e+02
  1596  6.22294129e-17  1.87519316e+02
  1608  5.58861420e-17  1.70945913e+02
  1620  5.16762592e-17  1.60435917e+02
  1632  4.95242132e-17  1.56040175e+02
  1644  4.92385348e-17  1.57429219e+02
  1656  5.05323677e-17  1.63932474e+02
  1668  5.30450380e-17  1.74586095e+02
  1680  5.63730470e-17  1.88217937e+02
  1692  6.01046308e-17  2.03553116e+02
  1704  6.38419651e-17  2.19286918e+02
  1716  6.72109593e-17  2.34120896e+02
  1728  6.98896745e-17  2.46867690e+02
  1740  7.16231803e-17  2.56515803e+02
  1752  7.22291332e-17  2.62265355e+02
  1764  7.16384865e-17  2.63695183e+02
  1776  6.98709537e-17  2.60699120e+02
  1788  6.70013517e-17  2.53380929e+02
  1800  6.31747281e-17  2.42126377e+02
  1812  5.85656447e-17  2.27463350e+02
  1824  5.33979000e-17  2.10147576e+02
  1836  4.79199890e-17  1.91078159e+02
  1848  4.24131499e-17  1.71337296e+02
  1860  3.71268570e-17  1.51935761e+02
  1872  3.22876386e-17  1.33841998e+02
  1884  2.80612784e-17  1.17818153e+02
  1896  2.45803138e-17  1.04521490e+02
  1908  2.19157781e-17  9.43742901e+01
  1920  2.00941841e-17  8.76216597e+01
  1932  1.90993952e-17  8.43278632e+01
  1944  1.88585384e-17  8.43017133e+01
  1956  1.92651208e-17  8.71854308e+01
  1968  2.01852385e-17  9.24734797e+01
  1980  2.14579369e-17  9.95061985e+01
  1992  2.29128550e-17  1.07544534e+02
  2004  2.43881035e-17  1.15851758e+02
  2016  2.57385337e-17  1.23735049e+02
  2028  2.68391191e-17  1.30566198e+02
  2040  2.75892114e-17  1.35807878e+02
  2052  2.79161909e-17  1.39038467e+02
  2064  2.77769069e-17  1.39967156e+02
  2076  2.71587069e-17  1.38447602e+02
  2088  2.60797457e-17  1.34488389e+02
  2100  2.45974728e-17  1.28306406e+02
  2112  2.27983748e-17  1.20284538e+02
  2124  2.07804711e-17  1.10887180e+02
  2136  1.86445335e-17  1.00616637e+02
  2148  1.64891391e-17  8.99872911e+01
  2160  1.44060419e-17  7.94997377e+01
  2172  1.24770633e-17  6.96216691e+01
  2184  1.07714351e-17  6.07701276e+01
  2196  9.34509861e-18  5.33038755e+01
  2208  8.23516202e-18  4.74875143e+01
  2220  7.45715564e-18  4.34697603e+01
  2232  7.00681040e-18  4.12872335e+01
  2244  6.86060829e-18  4.08615020e+01
  2256  6.97603349e-18  4.19944324e+01
  2268  7.29558328e-18  4.43864151e+01
  2280  7.75927096e-18  4.77082575e+01
  2292  8.30759575e-18  5.16186364e+01
  2304  8.87274291e-18  5.57088004e+01
  2316  9.39659971e-18  5.96139391e+01
  2328  9.83859291e-18  6.30663883e+01
  2340  1.01478187e-17  6.57207444e+01
  2352  1.02996543e-17  6.73898355e+01
  2364  1.02736213e-17  6.79070201e+01
  2376  1.00579703e-17  6.71581110e+01
  2388  9.66489739e-18  6.51868844e+01
  2400  9.10933146e-18  6.20586625e+01
  2412  8.43086799e-18  5.80122112e+01
  2424  7.66532640e-18  5.32705910e+01
  2436  6.84781842e-18  4.80615257e+01
  2448  6.02638382e-18  4.27139261e+01
  2460  5.22402731e-18  3.73907920e+01
  2472  4.47793687e-18  3.23640642e+01
  2484  3.81867971e-18  2.78678666e+01
  2496  3.25856098e-18  2.40105153e+01
