# ell  Dl_LCDM  Dl_Khr_DBI  Dl_Khr_full  res_pureDBI  res_full
   800  1.03404149e+03  1.03404421e+03  9.09681094e+02  2.63746241e-06  -1.20266346e-01
   806  1.11267053e+03  1.11267362e+03  9.85026434e+02  2.78066333e-06  -1.14718680e-01
   812  9.35135158e+02  9.35137472e+02  1.03320065e+03  2.47430391e-06  1.04867716e-01
   818  9.54707229e+02  9.54710164e+02  9.30874772e+02  3.07438222e-06  -2.49631052e-02
   824  6.92260406e+02  6.92261938e+02  7.23516306e+02  2.21262081e-06  4.51504945e-02
   830  1.27201900e+03  1.27202202e+03  1.22555716e+03  2.37561678e-06  -3.65260582e-02
   836  1.10278077e+03  1.10278323e+03  1.16417401e+03  2.22394172e-06  5.56712976e-02
   842  9.56015981e+02  9.56018291e+02  1.07828842e+03  2.41641033e-06  1.27897903e-01
   848  1.17433799e+03  1.17434114e+03  1.10238694e+03  2.68597087e-06  -6.12694512e-02
   854  9.54206739e+02  9.54209755e+02  9.04575647e+02  3.16095466e-06  -5.20129342e-02
   860  1.54580171e+03  1.54580422e+03  1.55651119e+03  1.61895361e-06  6.92810209e-03
   866  9.36088815e+02  9.36091352e+02  1.00463256e+03  2.71085644e-06  7.32235457e-02
   872  9.12437216e+02  9.12439218e+02  9.64933611e+02  2.19315766e-06  5.75342537e-02
   878  1.43261125e+03  1.43261492e+03  1.36031850e+03  2.56248571e-06  -5.04622218e-02
   884  9.63877002e+02  9.63879156e+02  9.12644125e+02  2.23521560e-06  -5.31529189e-02
   890  1.03480558e+03  1.03480916e+03  1.18037682e+03  3.45329969e-06  1.40674959e-01
   896  1.19287542e+03  1.19288045e+03  1.08693353e+03  4.21694744e-06  -8.88122023e-02
   902  8.49716384e+02  8.49718321e+02  8.70735740e+02  2.27979983e-06  2.47369081e-02
   908  1.19104306e+03  1.19104554e+03  1.25684288e+03  2.08188306e-06  5.52455429e-02
   914  8.00811941e+02  8.00812360e+02  7.80457667e+02  5.22901108e-07  -2.54170463e-02
   920  9.22126099e+02  9.22128538e+02  9.00656299e+02  2.64550021e-06  -2.32829323e-02
   926  1.14103596e+03  1.14103875e+03  1.12303274e+03  2.44842925e-06  -1.57779606e-02
   932  5.76444593e+02  5.76446389e+02  6.21880788e+02  3.11563627e-06  7.88214435e-02
   938  7.66777574e+02  7.66778897e+02  8.16728343e+02  1.72545285e-06  6.51437532e-02
   944  1.02898133e+03  1.02898267e+03  1.01145278e+03  1.30226802e-06  -1.70348594e-02
   950  5.79943766e+02  5.79944558e+02  5.09428031e+02  1.36502026e-06  -1.21590643e-01
   956  6.57784568e+02  6.57786057e+02  6.86078216e+02  2.26335315e-06  4.30135468e-02
   962  7.14074315e+02  7.14076112e+02  7.38691209e+02  2.51716953e-06  3.44738547e-02
   968  5.30767822e+02  5.30769290e+02  5.36642073e+02  2.76520531e-06  1.10674577e-02
   974  7.10497577e+02  7.10498766e+02  7.24874599e+02  1.67310729e-06  2.02351452e-02
   980  6.09472651e+02  6.09473734e+02  5.36908658e+02  1.77707678e-06  -1.19060294e-01
   986  4.14173794e+02  4.14174617e+02  4.11340303e+02  1.98535441e-06  -6.84131070e-03
   992  4.85938835e+02  4.85939914e+02  5.66616415e+02  2.22029247e-06  1.66024146e-01
   998  5.32476722e+02  5.32478220e+02  5.67177890e+02  2.81254493e-06  6.51693615e-02
  1004  4.51908890e+02  4.51910121e+02  4.88539944e+02  2.72506162e-06  8.10584950e-02
  1010  4.89457734e+02  4.89459428e+02  4.30557502e+02  3.46015882e-06  -1.20337730e-01
  1016  3.54693312e+02  3.54694767e+02  3.79925584e+02  4.10239056e-06  7.11382785e-02
  1022  2.68110490e+02  2.68111570e+02  2.63665461e+02  4.02707291e-06  -1.65790931e-02
  1028  3.29278382e+02  3.29279275e+02  3.62996445e+02  2.71438761e-06  1.02399871e-01
  1034  3.81298743e+02  3.81299916e+02  3.75979087e+02  3.07415944e-06  -1.39514139e-02
  1040  4.59406606e+02  4.59408198e+02  4.29937341e+02  3.46615134e-06  -6.41463666e-02
  1046  5.42564236e+02  5.42565915e+02  4.51333622e+02  3.09518144e-06  -1.68147121e-01
  1052  5.38008057e+02  5.38009756e+02  4.95571256e+02  3.15728831e-06  -7.88776317e-02
  1058  4.99975396e+02  4.99976939e+02  4.39330690e+02  3.08566306e-06  -1.21295381e-01
  1064  5.35177457e+02  5.35179230e+02  5.96477054e+02  3.31303679e-06  1.14540693e-01
  1070  3.40230158e+02  3.40231485e+02  4.47541951e+02  3.90000349e-06  3.15409409e-01
  1076  4.48747352e+02  4.48748694e+02  5.08426698e+02  2.99013385e-06  1.32990971e-01
  1082  4.06810676e+02  4.06811849e+02  4.43274131e+02  2.88453746e-06  8.96324946e-02
  1088  5.56039193e+02  5.56040898e+02  5.08591969e+02  3.06741143e-06  -8.53307183e-02
  1094  6.97860477e+02  6.97862651e+02  6.33577183e+02  3.11568585e-06  -9.21148223e-02
  1100  5.53231523e+02  5.53233342e+02  5.63823221e+02  3.28834332e-06  1.91451458e-02
  1106  8.55340796e+02  8.55343018e+02  7.93873038e+02  2.59809116e-06  -7.18634701e-02
  1112  6.10968119e+02  6.10969707e+02  7.42076262e+02  2.59913052e-06  2.14590809e-01
  1118  4.83805836e+02  4.83807480e+02  4.50809678e+02  3.39870060e-06  -6.82012393e-02
  1124  7.09435593e+02  7.09437730e+02  7.67586907e+02  3.01205189e-06  8.19684183e-02
  1130  6.82135858e+02  6.82137538e+02  5.82586642e+02  2.46253430e-06  -1.45937522e-01
  1136  7.70686580e+02  7.70689167e+02  7.13663367e+02  3.35663256e-06  -7.39901466e-02
  1142  6.72262147e+02  6.72264557e+02  7.37156220e+02  3.58499469e-06  9.65309039e-02
  1148  9.42540477e+02  9.42543037e+02  8.85281886e+02  2.71529129e-06  -6.07492119e-02
  1154  6.22531866e+02  6.22533493e+02  7.36314224e+02  2.61308564e-06  1.82773548e-01
  1160  5.11760589e+02  5.11762570e+02  4.89142142e+02  3.87065140e-06  -4.41973212e-02
  1166  9.78545986e+02  9.78548797e+02  9.82064587e+02  2.87206941e-06  3.59574387e-03
  1172  7.64337730e+02  7.64339881e+02  6.85226728e+02  2.81431794e-06  -1.03502678e-01
  1178  6.38667370e+02  6.38669239e+02  6.90407729e+02  2.92627847e-06  8.10129987e-02
  1184  5.90858241e+02  5.90860480e+02  7.07369707e+02  3.78983028e-06  1.97190220e-01
  1190  1.03016675e+03  1.03016986e+03  9.20226589e+02  3.01378358e-06  -1.06720746e-01
