# ell  D_l_CLASS[muK2]  D_l_mlx[muK2]  residual_pct
   396  1.754398e+03  3.579638e+03  +104.0380
   397  1.748212e+03  3.532810e+03  +102.0814
   398  1.742456e+03  3.482989e+03  +99.8896
   399  1.737129e+03  3.434108e+03  +97.6888
   400  1.732227e+03  3.390104e+03  +95.7079
   401  1.727747e+03  3.354068e+03  +94.1296
   402  1.723687e+03  3.325721e+03  +92.9423
   403  1.720042e+03  3.303942e+03  +92.0849
   404  1.716811e+03  3.287610e+03  +91.4952
   405  1.713988e+03  3.275160e+03  +91.0841
   406  1.711571e+03  3.263252e+03  +90.6583
   407  1.709555e+03  3.248107e+03  +89.9972
   408  1.707937e+03  3.225941e+03  +88.8794
   409  1.706711e+03  3.194141e+03  +87.1518
   410  1.705874e+03  3.154768e+03  +84.9356
   411  1.705420e+03  3.111051e+03  +82.4214
   412  1.705346e+03  3.066218e+03  +79.8004
   413  1.705645e+03  3.023408e+03  +77.2589
   414  1.706313e+03  2.985386e+03  +74.9612
   415  1.707344e+03  2.954828e+03  +73.0657
   416  1.708734e+03  2.934408e+03  +71.7300
   417  1.710474e+03  2.925419e+03  +71.0297
   418  1.712561e+03  2.923622e+03  +70.7164
   419  1.714988e+03  2.923399e+03  +70.4618
   420  1.717748e+03  2.919128e+03  +69.9392
   421  1.720835e+03  2.906312e+03  +68.8896
   422  1.724242e+03  2.884938e+03  +67.3162
   423  1.727963e+03  2.856114e+03  +65.2879
   424  1.731989e+03  2.820950e+03  +62.8734
   425  1.736314e+03  2.781246e+03  +60.1811
   426  1.740930e+03  2.741567e+03  +57.4771
   427  1.745831e+03  2.707167e+03  +55.0647
   428  1.751010e+03  2.683302e+03  +53.2431
   429  1.756464e+03  2.673397e+03  +52.2034
   430  1.762188e+03  2.673555e+03  +51.7179
   431  1.768177e+03  2.678045e+03  +51.4580
   432  1.774427e+03  2.681141e+03  +51.0990
   433  1.780932e+03  2.677975e+03  +50.3694
   434  1.787687e+03  2.667141e+03  +49.1951
   435  1.794686e+03  2.648093e+03  +47.5519
   436  1.801926e+03  2.620286e+03  +45.4159
   437  1.809399e+03  2.584423e+03  +42.8332
   438  1.817100e+03  2.546191e+03  +40.1239
   439  1.825023e+03  2.512527e+03  +37.6710
   440  1.833162e+03  2.490367e+03  +35.8509
   441  1.841511e+03  2.484410e+03  +34.9115
   442  1.850064e+03  2.490406e+03  +34.6119
   443  1.858814e+03  2.501873e+03  +34.5952
   444  1.867754e+03  2.512325e+03  +34.5105
   445  1.876877e+03  2.516277e+03  +34.0672
   446  1.886178e+03  2.512244e+03  +33.1923
   447  1.895648e+03  2.499740e+03  +31.8673
   448  1.905280e+03  2.478278e+03  +30.0742
   449  1.915067e+03  2.448709e+03  +27.8654
   450  1.925001e+03  2.417218e+03  +25.5697
   451  1.935075e+03  2.391326e+03  +23.5779
   452  1.945281e+03  2.378554e+03  +22.2730
   453  1.955611e+03  2.383788e+03  +21.8948
   454  1.966055e+03  2.401367e+03  +22.1414
   455  1.976607e+03  2.422994e+03  +22.5835
   456  1.987258e+03  2.440375e+03  +22.8011
   457  1.997998e+03  2.446919e+03  +22.4686
   458  2.008819e+03  2.442870e+03  +21.6073
   459  2.019712e+03  2.430179e+03  +20.3230
   460  2.030668e+03  2.410795e+03  +18.7193
   461  2.041678e+03  2.387412e+03  +16.9338
   462  2.052731e+03  2.365696e+03  +15.2463
   463  2.063819e+03  2.352055e+03  +13.9662
   464  2.074931e+03  2.352899e+03  +13.3965
   465  2.086057e+03  2.371813e+03  +13.6984
   466  2.097188e+03  2.401087e+03  +14.4908
   467  2.108320e+03  2.430188e+03  +15.2666
   468  2.119447e+03  2.448581e+03  +15.5293
   469  2.130566e+03  2.448721e+03  +14.9329
   470  2.141672e+03  2.435002e+03  +13.6963
   471  2.152761e+03  2.414807e+03  +12.1725
   472  2.163829e+03  2.395517e+03  +10.7073
   473  2.174871e+03  2.383426e+03  +9.5893
   474  2.185882e+03  2.380479e+03  +8.9024
   475  2.196858e+03  2.387532e+03  +8.6794
   476  2.207795e+03  2.405439e+03  +8.9521
   477  2.218686e+03  2.433417e+03  +9.6783
   478  2.229528e+03  2.464112e+03  +10.5217
   479  2.240316e+03  2.488530e+03  +11.0794
   480  2.251044e+03  2.497676e+03  +10.9563
   481  2.261708e+03  2.486107e+03  +9.9216
   482  2.272303e+03  2.462584e+03  +8.3739
   483  2.282822e+03  2.439419e+03  +6.8598
   484  2.293262e+03  2.428924e+03  +5.9157
   485  2.303616e+03  2.439807e+03  +5.9121
   486  2.313880e+03  2.466358e+03  +6.5897
   487  2.324047e+03  2.499260e+03  +7.5391
   488  2.334113e+03  2.529200e+03  +8.3581
   489  2.344071e+03  2.548740e+03  +8.7314
   490  2.353916e+03  2.557953e+03  +8.6680
   491  2.363642e+03  2.558788e+03  +8.2562
   492  2.373243e+03  2.553197e+03  +7.5826
   493  2.382714e+03  2.543698e+03  +6.7563
   494  2.392049e+03  2.535088e+03  +5.9798
   495  2.401240e+03  2.532730e+03  +5.4759
   496  2.410283e+03  2.541991e+03  +5.4644
   497  2.419170e+03  2.566222e+03  +6.0786
   498  2.427897e+03  2.600720e+03  +7.1182
   499  2.436455e+03  2.638772e+03  +8.3038
   500  2.444840e+03  2.673664e+03  +9.3595
   501  2.453043e+03  2.700048e+03  +10.0693
   502  2.461060e+03  2.718059e+03  +10.4426
   503  2.468882e+03  2.729198e+03  +10.5439
   504  2.476504e+03  2.734967e+03  +10.4366
   505  2.483919e+03  2.736866e+03  +10.1834
   506  2.491125e+03  2.736399e+03  +9.8459
   507  2.498122e+03  2.735067e+03  +9.4849
   508  2.504908e+03  2.734372e+03  +9.1606
   509  2.511482e+03  2.735524e+03  +8.9207
   510  2.517844e+03  2.738568e+03  +8.7664
   511  2.523992e+03  2.743258e+03  +8.6873
   512  2.529925e+03  2.749348e+03  +8.6731
   513  2.535642e+03  2.756593e+03  +8.7138
   514  2.541143e+03  2.764744e+03  +8.7993
   515  2.546426e+03  2.773558e+03  +8.9196
   516  2.551490e+03  2.782787e+03  +9.0651
   517  2.556335e+03  2.792241e+03  +9.2283
   518  2.560960e+03  2.801957e+03  +9.4104
   519  2.565363e+03  2.812025e+03  +9.6151
   520  2.569545e+03  2.822539e+03  +9.8459
   521  2.573503e+03  2.833590e+03  +10.1063
   522  2.577238e+03  2.845270e+03  +10.4000
   523  2.580748e+03  2.857671e+03  +10.7304
   524  2.584032e+03  2.870885e+03  +11.1010
   525  2.587090e+03  2.884969e+03  +11.5140
   526  2.589922e+03  2.899840e+03  +11.9663
   527  2.592525e+03  2.915379e+03  +12.4533
   528  2.594900e+03  2.931469e+03  +12.9704
   529  2.597046e+03  2.947991e+03  +13.5132
   530  2.598962e+03  2.964827e+03  +14.0773
   531  2.600647e+03  2.981858e+03  +14.6583
   532  2.602101e+03  2.998967e+03  +15.2518
   533  2.603323e+03  3.016049e+03  +15.8538
   534  2.604312e+03  3.033046e+03  +16.4624
   535  2.605068e+03  3.049916e+03  +17.0762
   536  2.605590e+03  3.066615e+03  +17.6937
   537  2.605878e+03  3.083101e+03  +18.3133
   538  2.605931e+03  3.099330e+03  +18.9337
   539  2.605748e+03  3.115258e+03  +19.5533
   540  2.605329e+03  3.130842e+03  +20.1707
   541  2.604673e+03  3.146040e+03  +20.7845
   542  2.603780e+03  3.160809e+03  +21.3931
   543  2.602649e+03  3.175107e+03  +21.9952
   544  2.601281e+03  3.188893e+03  +22.5893
   545  2.599677e+03  3.202124e+03  +23.1739
   546  2.597839e+03  3.214760e+03  +23.7475
   547  2.595770e+03  3.226758e+03  +24.3083
   548  2.593473e+03  3.238077e+03  +24.8548
   549  2.590950e+03  3.248686e+03  +25.3859
   550  2.588204e+03  3.258604e+03  +25.9021
   551  2.585238e+03  3.267861e+03  +26.4047
   552  2.582053e+03  3.276487e+03  +26.8946
   553  2.578654e+03  3.284512e+03  +27.3731
   554  2.575042e+03  3.291965e+03  +27.8412
