# ell  C_l^EE  D_l^EE[muK^2]
  1548  4.88430829e-20  1.38464342e-01
  1560  7.69728654e-20  2.21604033e-01
  1572  4.48652780e-20  1.31160823e-01
  1584  5.09237879e-20  1.51153305e-01
  1596  3.40977452e-20  1.02748613e-01
  1608  7.91378362e-20  2.42068770e-01
  1620  6.83486674e-20  2.12197657e-01
  1632  6.09312225e-20  1.91981215e-01
  1644  6.80994211e-20  2.17732691e-01
  1656  2.48041222e-20  8.04672589e-02
  1668  6.82875917e-20  2.24753614e-01
  1680  4.49773416e-20  1.50170035e-01
  1692  4.39806633e-20  1.48946944e-01
  1704  4.31139880e-20  1.48089639e-01
  1716  1.28018276e-20  4.45935512e-02
  1728  3.78367405e-20  1.33648766e-01
  1740  2.45023741e-20  8.77543575e-02
  1752  1.80276550e-20  6.54587581e-02
  1764  1.69206483e-20  6.22834689e-02
  1776  1.90755653e-20  7.11738256e-02
  1788  1.93730999e-20  7.32638060e-02
  1800  1.31981102e-20  5.05836858e-02
  1812  1.69981932e-20  6.60193530e-02
  1824  1.65416655e-20  6.50997680e-02
  1836  3.06928468e-20  1.22385935e-01
  1848  2.59784666e-20  1.04945760e-01
  1860  3.24538756e-20  1.32812328e-01
  1872  3.82905234e-20  1.58725765e-01
  1884  4.25845795e-20  1.78795721e-01
  1896  4.18688324e-20  1.78036488e-01
  1908  2.67289909e-20  1.15101071e-01
  1920  5.27645653e-20  2.30082434e-01
  1932  4.02158024e-20  1.77561260e-01
  1944  1.37441423e-20  6.14392651e-02
  1956  4.51539511e-20  2.04346846e-01
  1968  3.12543215e-20  1.43183637e-01
  1980  1.07764517e-20  4.99732915e-02
  1992  3.61368423e-20  1.69613079e-01
  2004  2.66194686e-20  1.26451498e-01
  2016  8.63416859e-21  4.15077751e-02
  2028  2.31769384e-20  1.12750524e-01
  2040  1.23103208e-20  6.05975473e-02
  2052  7.30736200e-21  3.63948080e-02
  2064  1.47791278e-20  7.44716638e-02
  2076  7.53186883e-21  3.83953913e-02
  2088  1.23430235e-20  6.36506722e-02
  2100  1.15641376e-20  6.03213571e-02
  2112  1.39354504e-20  7.35236273e-02
  2124  6.81374278e-21  3.63589795e-02
  2136  1.45350190e-20  7.84393306e-02
