# ell  Dl_TT  Dl_EE  Dl_TE
    1132    7.846267e+02    7.710093e+00   -1.660010e+01
    1140    9.039821e+02    7.216790e+00   -4.132179e+01
    1148    6.494446e+02    8.888817e+00   -1.455261e+01
    1156    1.089823e+03    7.461631e+00   -2.627955e+01
    1164    7.505847e+02    5.664179e+00   -1.417389e+01
    1172    9.925922e+02    8.901571e+00   -9.904921e+00
    1180    8.388251e+02    8.463272e+00    4.467187e+00
    1188    9.841861e+02    6.533124e+00    1.388261e+01
    1196    8.117855e+02    1.085320e+01   -7.297493e+00
    1204    8.130493e+02    1.230467e+01    1.515231e+01
    1212    7.026645e+02    8.616710e+00    5.643875e+00
    1220    7.708985e+02    9.333843e+00   -3.520021e+00
    1228    7.597716e+02    1.074654e+01   -3.147216e+00
    1236    5.576537e+02    1.118307e+01    9.512743e+00
    1244    7.363504e+02    1.082362e+01    3.575263e+01
    1252    6.072649e+02    1.313695e+01    2.432982e+00
    1260    6.975839e+02    2.037875e+01    1.237526e+01
    1268    4.777196e+02    1.618254e+01   -9.961655e+00
    1276    5.110370e+02    1.686491e+01    9.723857e+00
    1284    5.823276e+02    1.066381e+01   -2.511360e+00
    1292    5.917285e+02    1.484605e+01   -1.202387e+01
    1300    5.395018e+02    1.868321e+01   -4.604879e-01
    1308    4.535300e+02    1.762346e+01   -1.697972e+01
    1316    3.843693e+02    2.361680e+01   -1.425224e+01
    1324    5.633894e+02    1.278216e+01   -2.532056e+01
    1332    5.754603e+02    1.827232e+01   -4.072099e+01
    1340    5.747954e+02    1.314541e+01   -9.703908e+00
    1348    4.834937e+02    1.732238e+01   -4.287294e+01
    1356    4.178939e+02    2.209614e+01   -3.822659e+01
    1364    5.933228e+02    1.239039e+01   -5.258966e+01
    1372    5.849967e+02    1.773939e+01   -4.734014e+01
    1380    4.663547e+02    1.003379e+01   -1.875712e+01
    1388    6.320870e+02    1.622331e+01   -5.747247e+01
    1396    7.035855e+02    1.534350e+01   -5.633081e+01
    1404    7.211792e+02    9.657689e+00   -4.543396e+01
    1412    6.660421e+02    1.305231e+01   -5.476997e+01
    1420    4.993347e+02    8.909272e+00   -3.571870e+01
    1428    7.504827e+02    1.021793e+01   -5.362837e+01
    1436    7.328002e+02    1.002389e+01   -5.169942e+01
    1444    5.649136e+02    8.031362e+00   -2.464005e+01
    1452    6.868817e+02    9.746478e+00   -3.835052e+01
    1460    6.277630e+02    9.059201e+00   -2.910568e+01
    1468    7.819793e+02    8.394071e+00   -1.897479e+01
    1476    7.264903e+02    7.784742e+00   -2.520753e+01
    1484    5.386945e+02    6.976784e+00   -1.709641e+01
    1492    8.106790e+02    6.018960e+00   -6.230627e+00
    1500    6.607475e+02    5.587720e+00   -5.492418e+00
    1512    6.819492e+02    9.287954e+00   -1.370586e+00
    1524    5.911879e+02    6.120778e+00   -1.720589e+00
    1536    6.532291e+02    1.025612e+01    1.357756e+01
    1548    4.569138e+02    7.102654e+00    2.316593e+00
    1560    5.661450e+02    1.064500e+01    1.655843e+01
    1572    3.881817e+02    7.769653e+00   -5.379317e+00
    1584    4.080412e+02    1.102512e+01    2.373889e+01
    1596    3.732829e+02    7.818609e+00   -1.190370e+01
    1608    3.315759e+02    1.258856e+01    1.044907e+01
    1620    3.270118e+02    8.748785e+00   -1.219957e+01
    1632    3.327996e+02    1.300134e+01   -2.137064e-01
    1644    3.273792e+02    9.034185e+00   -1.499806e+01
    1656    3.093508e+02    1.431927e+01   -1.267682e+01
    1668    2.532720e+02    1.021702e+01   -1.122696e+01
    1680    3.112429e+02    1.339681e+01   -1.674642e+01
    1692    2.600254e+02    9.749722e+00   -2.224745e+01
    1704    3.342733e+02    1.224481e+01   -2.696638e+01
    1716    2.912365e+02    8.903363e+00   -2.452757e+01
    1728    2.882984e+02    1.194202e+01   -2.393718e+01
    1740    3.239571e+02    8.126871e+00   -1.954535e+01
    1752    3.362319e+02    1.016256e+01   -3.652146e+01
    1764    3.580406e+02    5.612134e+00   -1.511447e+01
    1776    5.011679e+02    6.941123e+00   -3.078060e+01
    1788    3.189585e+02    5.732100e+00   -1.532719e+01
    1800    4.905377e+02    7.017134e+00   -1.925024e+01
    1812    3.289219e+02    3.436796e+00   -7.788163e+00
    1824    3.340071e+02    5.525335e+00   -7.245648e+00
    1836    2.292623e+02    6.628774e+00   -2.417275e+00
    1848    2.827979e+02    4.302246e+00   -6.394992e+00
    1860    2.277078e+02    4.519052e+00   -8.533101e+00
    1872    2.298551e+02    6.991762e+00   -6.131287e+00
    1884    2.818117e+02    5.083175e+00    9.687881e-01
    1896    2.115370e+02    5.982918e+00    1.405856e+00
    1908    2.236106e+02    1.159491e+01   -1.241710e+00
    1920    1.705208e+02    1.045117e+01   -1.135034e+01
    1932    1.348830e+02    1.356554e+01   -5.458151e+00
    1944    2.581290e+02    6.639536e+00   -2.317378e+01
    1956    2.248237e+02    1.264899e+01   -2.576059e+01
    1968    1.829893e+02    6.897771e+00   -9.553564e+00
    1980    1.915774e+02    1.024011e+01   -1.709739e+01
    1992    1.872401e+02    1.240992e+01   -2.147057e+01
