# ell  Dl_TT  Dl_EE  Dl_TE
    1884    3.147952e+02    7.899254e+00    1.829796e+01
    1896    2.379576e+02    9.282847e+00    1.279013e+01
    1908    2.405647e+02    1.489986e+01    1.375734e+01
    1920    1.900132e+02    1.159813e+01   -1.343855e+00
    1932    1.389149e+02    1.728383e+01    1.347785e+00
    1944    2.761641e+02    6.297358e+00   -1.198780e+01
    1956    2.515505e+02    1.340565e+01   -1.391248e+01
    1968    1.939148e+02    6.556071e+00   -2.802585e+00
    1980    2.064099e+02    1.023859e+01   -7.278717e+00
    1992    2.062874e+02    1.084207e+01   -1.098402e+01
    2004    3.238640e+02    5.913732e+00   -1.206217e+01
    2016    3.098224e+02    1.031750e+01   -2.064767e+01
    2028    1.797625e+02    3.933521e+00   -1.548835e+00
    2040    2.290567e+02    7.910651e+00   -1.374833e+01
    2052    2.072432e+02    5.723786e+00   -6.403766e+00
    2064    3.315142e+02    4.952923e+00    4.611968e-01
    2076    3.648291e+02    4.254128e+00   -8.466137e+00
    2088    2.206487e+02    2.914283e+00    6.100118e+00
    2100    2.739484e+02    3.155383e+00   -6.453218e+00
    2112    1.769005e+02    4.833586e+00    5.790770e+00
    2124    2.557885e+02    6.478651e+00    1.094015e+01
    2136    2.472011e+02    8.003549e+00    2.214728e+01
    2148    1.752853e+02    4.644683e+00    5.181869e+00
    2160    2.534617e+02    5.690272e+00    2.199054e+01
    2172    2.214067e+02    5.199187e+00    1.605736e+01
    2184    1.530084e+02    8.539316e+00    1.163981e+01
    2196    2.234105e+02    9.803365e+00    1.258036e+01
    2208    1.548523e+02    4.313154e+00   -4.206487e+00
    2220    1.558748e+02    1.175680e+01    1.364363e+01
    2232    1.606581e+02    1.195142e+01    3.715032e+00
    2244    1.061815e+02    6.635473e+00   -5.872958e+00
    2256    1.390887e+02    1.137053e+01    5.461168e+00
    2268    1.043123e+02    7.111503e+00    2.598210e+00
    2280    1.223356e+02    7.970875e+00   -8.100379e+00
    2292    1.259545e+02    9.150606e+00   -3.455242e+00
    2304    9.505220e+01    3.955112e+00    1.191668e+00
    2316    1.602811e+02    6.652718e+00   -7.601511e+00
    2328    1.613793e+02    5.484178e+00   -7.566007e+00
    2340    1.198172e+02    3.204023e+00    2.699022e+00
    2352    1.749522e+02    4.274420e+00   -6.112381e+00
    2364    1.595258e+02    3.419894e+00   -7.722569e-01
    2376    1.358732e+02    3.356791e+00    7.402160e+00
    2388    1.767561e+02    2.563088e+00   -4.520615e-01
    2400    1.477135e+02    2.759985e+00    2.245081e+00
    2412    1.210268e+02    4.376237e+00    7.036650e+00
    2424    1.486305e+02    2.919075e+00    7.004112e+00
    2436    1.430894e+02    2.897450e+00    4.981419e+00
    2448    1.247929e+02    5.543681e+00    1.006461e+01
    2460    1.359577e+02    4.260803e+00    1.295872e+01
    2472    1.496824e+02    2.891627e+00    6.921475e+00
    2484    8.747818e+01    7.656703e+00    9.448911e+00
    2496    8.158848e+01    6.933977e+00    9.726273e+00
