eps,p,tau_petz,tau_optimal,tau_JRSWW,F_petz,Sigma
0.8,0.55,0.688167403732068,0.27500000000000024,0.4888089753181025,0.31183259626793197,1.3420238668489497
0.8,0.6,0.7130730050933786,0.30000000000000016,0.5033110619036876,0.28692699490662144,1.3995826558228992
0.8,0.65,0.7343864420964539,0.32500000000000007,0.5156053931342228,0.2656135579035462,1.4497108020062581
0.8,0.7,0.7523770152955769,0.3500000000000001,0.5259000701803811,0.24762298470442318,1.4926743142054426
0.8,0.75,0.7672634271099746,0.3750000000000002,0.5343612610171883,0.23273657289002536,1.5286903674867114
0.8,0.8,0.7792207792207793,0.40000000000000013,0.5411201762278762,0.2207792207792207,1.557933850100281
0.8,0.85,0.7883859260006052,0.42500000000000027,0.5462782300867404,0.21161407399939483,1.5805422208114213
0.8,0.9,0.7948615014050584,0.4500000000000002,0.5499108213613741,0.20513849859494157,1.5966190821985837
0.8,0.95,0.7987188469622662,0.4750000000000003,0.5520700270244192,0.20128115303773378,1.6062367382144958
0.8,1.0,0.8000000000000002,0.5000000000000002,0.5527864045000419,0.19999999999999984,1.6094379124340994
