channel,state,eps,p,D_before,D_after,Sigma,F_petz,bound,tau_petz,tau_JRSWW,gap,holds
Amplitude Damping,|0>,0.5,0.1,0.6931471805599453,0.5978370007556204,0.09531017980432488,0.9090909090909092,0.9534625892455924,0.09090909090909083,0.04653741075440765,-0.04437168015468318,False
Amplitude Damping,|0>,0.5,0.15,0.6931471805599453,0.5533852381847867,0.1397619423751586,0.8695652173913044,0.9325048082403138,0.13043478260869557,0.06749519175968621,-0.06293959084900935,False
Amplitude Damping,|0>,0.5,0.2,0.6931471805599453,0.5108256237659907,0.18232155679395456,0.8333333333333334,0.9128709291752769,0.16666666666666663,0.0871290708247231,-0.07953759584194353,False
Amplitude Damping,|0>,0.5,0.25,0.6931471805599453,0.4700036292457356,0.2231435513142097,0.7999999999999999,0.8944271909999159,0.20000000000000007,0.10557280900008414,-0.09442719099991592,False
Amplitude Damping,|0>,0.5,0.3,0.6931471805599453,0.4307829160924544,0.2623642644674909,0.7692307692307692,0.8770580193070293,0.23076923076923084,0.12294198069297069,-0.10782725007626015,False
Amplitude Damping,|0>,0.5,0.35,0.6931471805599453,0.3930425881096072,0.3001045924503381,0.7407407407407406,0.8606629658238704,0.2592592592592594,0.13933703417612964,-0.11992222508312977,False
Amplitude Damping,|0>,0.5,0.4,0.6931471805599453,0.35667494393873245,0.33647223662121284,0.7142857142857143,0.8451542547285166,0.2857142857142857,0.15484574527148343,-0.13086854044280227,False
Amplitude Damping,|0>,0.5,0.45,0.6931471805599453,0.32158362412746233,0.37156355643248296,0.689655172413793,0.8304547985373997,0.31034482758620696,0.16954520146260033,-0.14079962612360664,False
Amplitude Damping,|0>,0.5,0.5,0.6931471805599453,0.2876820724517809,0.4054651081081644,0.6666666666666666,0.816496580927726,0.33333333333333337,0.18350341907227397,-0.1498299142610594,False
Amplitude Damping,|0>,0.5,0.55,0.6931471805599453,0.25489224962879004,0.43825493093115525,0.6451612903225805,0.8032193289024988,0.3548387096774195,0.1967806710975012,-0.1580580385799183,False
Amplitude Damping,|0>,0.5,0.6,0.6931471805599453,0.2231435513142097,0.4700036292457356,0.6250000000000001,0.7905694150420948,0.3749999999999999,0.20943058495790523,-0.16556941504209466,False
Amplitude Damping,|0>,0.5,0.65,0.6931471805599453,0.192371892647456,0.5007752879124893,0.6060606060606061,0.778498944161523,0.3939393939393939,0.221501055838477,-0.1724383381009169,False
Amplitude Damping,|0>,0.5,0.7,0.6931471805599453,0.1625189294977748,0.5306282510621705,0.588235294117647,0.7669649888473704,0.41176470588235303,0.2330350111526296,-0.17872969472972344,False
Amplitude Damping,|0>,0.5,0.75,0.6931471805599453,0.13353139262452263,0.5596157879354227,0.5714285714285713,0.7559289460184545,0.4285714285714287,0.2440710539815455,-0.18450037458988322,False
Amplitude Damping,|0>,0.5,0.8,0.6931471805599453,0.1053605156578264,0.5877866649021188,0.5555555555555556,0.74535599249993,0.4444444444444444,0.25464400750007,-0.18980043694437443,False
Amplitude Damping,|0>,0.5,0.85,0.6931471805599453,0.0779615414697118,0.6151856390902335,0.5405405405405405,0.7352146220938077,0.45945945945945954,0.2647853779061923,-0.19467408155326726,False
Amplitude Damping,|0>,0.5,0.9,0.6931471805599453,0.05129329438755058,0.6418538861723947,0.5263157894736841,0.7254762501100117,0.47368421052631593,0.2745237498899883,-0.19916046063632764,False
Amplitude Damping,|0>,0.5,0.95,0.6931471805599453,0.025317807984290012,0.6678293725756552,0.512820512820513,0.716114874039433,0.487179487179487,0.28388512596056703,-0.20329436121891997,False
Amplitude Damping,|0>,0.5,1.0,0.6931471805599453,0.0,0.6931471805599453,0.5000000000000001,0.7071067811865476,0.4999999999999999,0.2928932188134524,-0.20710678118654746,False
Amplitude Damping,|1>,0.5,0.0,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Amplitude Damping,|1>,0.5,0.05,0.6931471805599453,0.5409210586737744,0.1522261218861709,0.9523809523809524,0.9267114257684209,0.04761904761904756,0.07328857423157908,0.025669526612531524,True
Amplitude Damping,|1>,0.5,0.1,0.6931471805599453,0.45335765328010824,0.23978952727983704,0.9090909090909092,0.8870137779069569,0.09090909090909083,0.1129862220930431,0.02207713118395227,True
Amplitude Damping,|1>,0.5,0.15,0.6931471805599453,0.3876148914707894,0.30553228908915586,0.8695652173913044,0.858330423594988,0.13043478260869557,0.141669576405012,0.011234793796316422,True
Amplitude Damping,|1>,0.5,0.2,0.6931471805599453,0.33479528671433423,0.35835189384561106,0.8333333333333333,0.8359588020779368,0.16666666666666674,0.16404119792206318,-0.002625468744603565,False
Amplitude Damping,|1>,0.5,0.25,0.6931471805599453,0.2907877024514204,0.4023594781085249,0.7999999999999999,0.8177654339579425,0.20000000000000007,0.18223456604205746,-0.01776543395794261,False
