channel,p,state,D_before,D_after,Delta_D,exp_bound,F_J_petz,f_petz,F_J_identity,f_identity,tau,tau_bound,tau_identity,bound_holds,gap_FJ,gap_tau
Dephasing,0.04,random_mixed_2,0.012797230572006693,0.0004215423027412353,0.012375688269265458,0.9877005756305326,0.9938107425565755,0.9969005680390475,0.9942748951842141,0.9971333387186561,0.0030994319609525256,0.0061687388542597255,0.0028666612813439407,True,0.006110166926042937,0.0030693068933072
Dephasing,0.04,random_mixed_3,0.2561448045271393,0.15227531139884262,0.10386949312829666,0.9013429211906593,0.9523558675809204,0.9758872207283588,0.9557177568770777,0.9776081816745795,0.024112779271641238,0.05060918416562543,0.022391818325420476,True,0.051012946390261105,0.026496404893984193
Dephasing,0.05,|0>,0.6931471805589452,0.6931471805589452,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,0.0,0.0
Dephasing,0.05,|1>,0.6931471805589452,0.6931471805589452,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,0.0,0.0
Dephasing,0.05,|+>,0.6931471805589462,0.0012505213548653425,0.6918966592040808,0.5006256517918627,0.5012499999999999,0.7079901129253147,0.5249999999999997,0.7245688373094717,0.29200988707468534,0.2924509544972428,0.27543116269052825,True,0.000624348208137171,0.0004410674225574507
Dephasing,0.05,|->,0.6931471805589453,0.001250521354865182,0.6918966592040802,0.500625651791863,0.5012499999999999,0.7079901129253147,0.5249999999999997,0.7245688373094717,0.29200988707468534,0.29245095449724257,0.27543116269052825,True,0.0006243482081368379,0.00044106742255722864
Dephasing,0.05,|i+>,0.6931471805589453,0.0012505213548651818,0.6918966592040802,0.500625651791863,0.5012499999999999,0.7079901129253147,0.5249999999999997,0.7245688373094717,0.29200988707468534,0.29245095449724257,0.27543116269052825,True,0.0006243482081368379,0.00044106742255722864
Dephasing,0.05,|i->,0.6931471805589453,0.0012505213548651818,0.6918966592040802,0.500625651791863,0.5012499999999999,0.7079901129253147,0.5249999999999997,0.7245688373094717,0.29200988707468534,0.29245095449724257,0.27543116269052825,True,0.0006243482081368379,0.00044106742255722864
Dephasing,0.05,random_pure_0,0.6931471805589438,0.16505910058282866,0.5280880799761151,0.5897314117965256,0.6557552061883819,0.8097871363441024,0.6721478088832598,0.8198462105073486,0.19021286365589762,0.2320602811440695,0.18015378949265137,True,0.06602379439185635,0.04184741748817189
Dephasing,0.05,random_pure_1,0.6931471805589453,0.19139213661109425,0.5017550439478511,0.6054671053144683,0.6788284956660625,0.8239104900813331,0.6941223597294952,0.8331400600916362,0.1760895099186669,0.22188233196098917,0.16685993990836379,True,0.07336139035159417,0.04579282204232227
Dephasing,0.05,random_pure_2,0.6931471805589409,0.004482383431205439,0.6886647971277354,0.5022462221697456,0.5044756873640046,0.7102645192912318,0.5280720857857201,0.7266856856892945,0.2897354807087682,0.29130667974804103,0.2733143143107055,True,0.0022294651942590393,0.0015711990392728303
Dephasing,0.05,random_pure_3,0.6931471805589462,0.010307645973889897,0.6828395345850563,0.5051804763780183,0.5102721811438272,0.714333382352965,0.5335925607550965,0.7304742026622819,0.28566661764703505,0.2892395084291627,0.2695257973377181,True,0.005091704765808891,0.0035728907821276357
Dephasing,0.05,random_pure_4,0.6931471805589462,0.0031472013036246277,0.6899999792553215,0.50157607947109,0.5031439071111738,0.7093263755924869,0.5268037263474308,0.7258124594875943,0.2906736244075131,0.29177963918629823,0.2741875405124057,True,0.0015678276400838964,0.001106014778785136
Dephasing,0.05,random_pure_5,0.6931471805589435,0.001394120075227016,0.6917530604837165,0.5006975461566874,0.5013934720977739,0.7080914291938393,0.5251366400931181,0.7246631217973757,0.2919085708061607,0.29240015110467454,0.2753368782026243,True,0.0006959259410864727,0.0004915802985138162
Dephasing,0.05,random_pure_6,0.6931471805589442,0.399411440355385,0.2937357402035592,0.745473464082038,0.8424054874868292,0.9178265018438012,0.8499099884975672,0.9219056288457985,0.08217349815619879,0.13659194810215147,0.07809437115420148,True,0.09693202340479123,0.054418449945952685
