channel,state,eps,p,D_before,D_after,Sigma,F_petz,bound,tau_petz,tau_JRSWW,gap,holds
Phase Damping,|1>,0.5,0.7,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|1>,0.5,0.75,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|1>,0.5,0.8,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|1>,0.5,0.85,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|1>,0.5,0.9,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|1>,0.5,0.95,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|1>,0.5,1.0,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|+>,0.5,0.0,0.6931471805599452,0.6931471805599452,0.0,0.9999999999999996,1.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,True
Phase Damping,|+>,0.5,0.05,0.6931471805599452,0.5762403314224145,0.11690684913753069,0.9512499999999999,0.9432221703559648,0.04875000000000007,0.056777829644035216,0.008027829644035145,True
Phase Damping,|+>,0.5,0.1,0.6931471805599452,0.4946319372140726,0.19851524334587256,0.9049999999999998,0.9055093991258623,0.0950000000000002,0.09449060087413774,-0.0005093991258624531,False
Phase Damping,|+>,0.5,0.15,0.6931471805599452,0.42676271729202486,0.2663844632679203,0.8612499999999995,0.8752968161981348,0.13875000000000048,0.12470318380186518,-0.014046816198135303,False
Phase Damping,|+>,0.5,0.2,0.6931471805599452,0.3680642071684973,0.32508297339144787,0.82,0.8499808265979932,0.18000000000000005,0.15001917340200677,-0.029980826597993282,False
Phase Damping,|+>,0.5,0.25,0.6931471805599452,0.31637701930350837,0.3767701612564368,0.7812499999999992,0.8282956851892151,0.21875000000000078,0.17170431481078485,-0.047045685189215924,False
Phase Damping,|+>,0.5,0.3,0.6931471805599452,0.2704380927539545,0.4227090878059907,0.745,0.809487017311904,0.255,0.19051298268809602,-0.06448701731190398,False
Phase Damping,|+>,0.5,0.35,0.6931471805599452,0.22942074074053484,0.4637264398194103,0.7112499999999998,0.7930545899668993,0.2887500000000002,0.20694541003310074,-0.08180458996689943,False
Phase Damping,|+>,0.5,0.4,0.6931471805599452,0.19274475702175733,0.5004024235381879,0.6799999999999998,0.7786440949523468,0.3200000000000002,0.22135590504765323,-0.09864409495234694,False
Phase Damping,|+>,0.5,0.45,0.6931471805599452,0.15998333982264665,0.5331638407372985,0.6512499999999998,0.7659932507063733,0.3487500000000002,0.23400674929362675,-0.11474325070637348,False
Phase Damping,|+>,0.5,0.5,0.6931471805599452,0.13081203594113688,0.5623351446188083,0.6249999999999998,0.7549018242385526,0.3750000000000002,0.24509817576144743,-0.1299018242385528,False
Phase Damping,|+>,0.5,0.55,0.6931471805599452,0.10497840320575455,0.5881687773541906,0.6012499999999996,0.7452136011997551,0.3987500000000004,0.2547863988002449,-0.1439636011997555,False
Phase Damping,|+>,0.5,0.6,0.6931471805599452,0.08228287850505181,0.6108643020548934,0.58,0.7368048945886729,0.42000000000000004,0.26319510541132707,-0.15680489458867297,False
Phase Damping,|+>,0.5,0.65,0.6931471805599452,0.06256615217393044,0.6305810283860147,0.5612499999999998,0.7295768910367425,0.4387500000000002,0.2704231089632575,-0.1683268910367427,False
Phase Damping,|+>,0.5,0.7,0.6931471805599452,0.04570054152531279,0.6474466390346324,0.5449999999999998,0.7234503792917172,0.4550000000000002,0.2765496207082828,-0.17845037929171736,False
Phase Damping,|+>,0.5,0.75,0.6931471805599452,0.031583942401963175,0.661563238157982,0.5312499999999998,0.7183620284737892,0.4687500000000002,0.28163797152621084,-0.18711202847378938,False
Phase Damping,|+>,0.5,0.8,0.6931471805599452,0.02013551355068878,0.6730116670092564,0.5199999999999998,0.7142617169149669,0.4800000000000002,0.28573828308503313,-0.19426171691496708,False
Phase Damping,|+>,0.5,0.85,0.6931471805599452,0.011292571829161782,0.6818546087307834,0.5112499999999998,0.7111106009638818,0.48875000000000024,0.2888893990361182,-0.19986060096388203,False
Phase Damping,|+>,0.5,0.9,0.6931471805599452,0.005008366846356679,0.6881388137135885,0.5049999999999998,0.7088797252284507,0.4950000000000002,0.29112027477154934,-0.20387972522845088,False
Phase Damping,|+>,0.5,0.95,0.6931471805599452,0.0012505213548651868,0.69189665920508,0.5012499999999999,0.7075490455024037,0.49875000000000014,0.2924509544975963,-0.20629904550240385,False
Phase Damping,|+>,0.5,1.0,0.6931471805599452,0.0,0.6931471805599452,0.4999999999999998,0.7071067811865476,0.5000000000000002,0.2928932188134524,-0.2071067811865478,False
Phase Damping,Singh,0.5,0.0,0.6931471805599452,0.6931471805599452,0.0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,Singh,0.5,0.05,0.6931471805599452,0.6283758100467637,0.06477137051318149,0.9763899731186858,0.9681331153945051,0.023610026881314194,0.031866884605494916,0.008256857724180722,True
