stage,sigma,tau
Wake,0.072888,0.212635
Wake,0.084701,0.097293
Wake,0.016687,0.122415
Wake,0.089407,0.178523
Wake,0.068485,0.196356
Wake,0.032570,0.120172
Wake,0.058407,0.126194
Wake,0.014509,0.169919
Wake,0.031517,0.147600
Wake,0.025799,0.122306
Wake,0.166450,0.196142
Wake,1.134057,0.041977
Wake,0.132119,0.395130
Wake,0.178721,0.190277
Wake,0.157507,0.278418
Wake,0.133831,0.522230
Wake,0.205395,0.291129
Wake,0.068951,0.461935
Wake,0.023761,0.408897
Wake,0.010319,0.434850
Wake,0.019883,0.445452
Wake,0.048748,0.127830
Wake,0.042937,0.153323
Wake,0.033874,0.092637
Wake,0.018378,0.147864
Wake,0.149788,0.154997
Wake,1.365666,0.036699
Wake,0.153529,0.174447
Wake,0.074120,0.344765
Wake,0.080611,0.144202
Wake,0.124830,0.229617
Wake,0.097769,0.164345
Wake,0.022194,0.144644
Wake,0.012854,0.110785
Wake,0.013743,0.142941
Wake,0.006671,0.116042
Wake,0.832885,0.059379
Wake,0.395589,0.088474
Wake,0.873246,0.471271
Wake,0.011146,0.132580
Wake,0.140283,0.199801
Wake,0.078078,0.092352
Wake,0.087825,0.053946
Wake,0.273453,0.109367
Wake,0.456347,0.123646
Wake,0.046715,0.190144
Wake,0.102161,0.133143
Wake,0.057106,0.197874
Wake,0.004904,0.145731
Wake,0.066396,0.184303
Wake,0.666502,0.348703
Wake,1.041551,0.243901
Wake,0.259898,0.089994
Wake,0.031504,0.192459
Wake,0.158675,0.247623
Wake,0.070639,0.143501
Wake,0.348398,0.054235
Wake,0.338680,0.242361
Wake,0.133516,0.069298
Wake,0.042729,0.146586
Wake,2.268916,0.061612
Wake,0.353580,0.196179
Wake,0.015079,0.100593
Wake,0.105184,0.078740
Wake,0.058891,0.097565
Wake,0.016968,0.120838
Wake,0.264647,0.075274
Wake,0.018456,0.146379
Wake,0.218734,0.229640
Wake,1.227799,0.068482
Wake,0.160706,0.163284
Wake,0.440170,0.477336
Wake,0.666716,0.323079
Wake,0.065532,0.112552
Wake,0.013066,0.097699
Wake,0.009555,0.110589
Wake,1.874474,0.140444
Wake,0.042714,0.266067
Wake,1.248589,0.074193
Wake,0.028077,0.112019
Wake,0.006601,0.112580
Wake,0.258143,0.160137
Wake,0.021644,0.091716
Wake,0.732341,0.297702
Wake,0.204248,0.072544
Wake,0.010563,0.089266
Wake,0.395916,0.082535
Wake,1.500001,0.521613
Wake,0.671323,0.115152
Wake,0.099255,0.080247
Wake,0.068008,0.189495
Wake,0.618213,0.305874
Wake,0.030624,0.080328
Wake,0.091446,0.146395
Wake,0.014964,0.069262
Wake,0.126098,0.058182
Wake,0.052200,0.160581
Wake,0.027365,0.148524
Wake,0.035927,0.099012
Wake,0.018179,0.118503
Wake,0.017080,0.127765
Wake,0.030179,0.143383
Wake,0.026954,0.117557
Wake,0.030187,0.082609
Wake,0.222441,0.081900
Wake,0.209439,0.169225
Wake,0.190296,0.134676
Wake,0.144554,0.197175
Wake,0.006731,0.118138
Wake,0.090292,0.138684
Wake,0.200827,0.174924
Wake,0.095722,0.030795
Wake,0.046836,0.116262
Wake,0.037544,0.072520
Wake,0.138916,0.112697
Wake,0.081928,0.233825
Wake,0.167678,0.126856
Wake,0.031513,0.288353
Wake,0.194534,0.265467
Wake,0.006135,0.137234
Wake,0.277847,0.095576
Wake,0.083809,0.318094
Wake,0.039182,0.185975
Wake,0.090627,0.245489
Wake,0.089938,0.137739
Wake,0.019505,0.211945
Wake,0.111426,0.186323
Wake,0.045995,0.131041
Wake,0.016523,0.166973
Wake,0.030139,0.161970
Wake,0.008126,0.127520
Wake,0.145259,0.095266
Wake,0.115917,0.254844
Wake,0.053802,0.112358
Wake,0.072185,0.152249
Wake,0.104723,0.198271
Wake,0.063074,0.262563
Wake,0.012266,0.185520
Wake,0.011981,0.178419
Wake,0.040386,0.220967
Wake,0.006665,0.158970
Wake,0.032947,0.159885
Wake,0.020836,0.178471
Wake,0.122298,0.104326
Wake,0.046670,0.225884
Wake,0.046176,0.192470
Wake,0.006053,0.141731
Wake,0.033107,0.142225
Wake,0.023937,0.154482
Wake,0.013329,0.188038
Wake,0.042562,0.199173
Wake,0.009724,0.160667
Wake,0.052581,0.137273
Wake,0.053475,0.143022
Wake,0.182802,0.142983
Wake,0.042321,0.334322
Wake,0.128251,0.290029
Wake,0.019726,0.149752
Wake,0.071548,0.209347
Wake,0.048251,0.099210
Wake,0.007016,0.157521
Wake,0.028076,0.168218
Wake,0.026908,0.122812
Wake,0.049235,0.171472
Wake,0.023378,0.133118
Wake,0.090829,0.123700
Wake,0.043609,0.157037
Wake,0.037597,0.135030
Wake,0.186005,0.054131
Wake,0.055819,0.205694
Wake,0.009426,0.125101
Wake,0.043569,0.115274
Wake,0.004871,0.177776
Wake,0.057539,0.210022
Wake,0.070030,0.096766
Wake,0.039673,0.190725
Wake,0.177174,0.223683
Wake,0.012101,0.094114
Wake,0.019668,0.096435
Wake,0.007296,0.129902
Wake,0.214947,0.077142
Wake,0.189599,0.275785
Wake,0.019609,0.119811
Wake,0.014140,0.155888
Wake,0.009563,0.145076
Wake,0.007449,0.156034
Wake,0.115015,0.111854
Wake,0.120902,0.249001
Wake,0.032956,0.152530
Wake,0.078251,0.115272
Wake,0.018045,0.172974
Wake,0.062784,0.229496
Wake,0.013974,0.161666
Wake,0.014677,0.136655
Wake,0.047295,0.158778
Wake,0.036161,0.146149
Wake,0.071196,0.092217
Wake,0.048213,0.183519
Wake,0.012521,0.126036
Wake,0.030000,0.112674
Wake,0.015589,0.159772
Wake,0.046045,0.115653
Wake,0.028254,0.192038
Wake,0.017179,0.147870
Wake,0.014252,0.133748
Wake,0.068562,0.102541
Wake,0.055430,0.204203
Wake,0.074157,0.135706
Wake,0.026536,0.196283
Wake,0.071048,0.159679
Wake,0.171184,0.286092
Wake,0.040734,0.128704
Wake,0.055115,0.181988
Wake,0.125778,0.113571
Wake,0.154431,0.255803
Wake,0.068175,0.109900
Wake,0.023785,0.171990
Wake,0.010846,0.172292
Wake,0.013656,0.191978
Wake,0.054166,0.221635
Wake,0.033844,0.138784
Wake,0.029984,0.188981
Wake,0.017498,0.117485
Wake,0.006410,0.161969
Wake,0.159241,0.101428
Wake,0.078548,0.258939
Wake,0.048670,0.182639
Wake,0.028174,0.096007
Wake,0.049537,0.140369
Wake,0.042844,0.173125
Wake,0.093252,0.212503
Wake,0.049290,0.138671
Wake,0.034437,0.207763
Wake,0.028118,0.132239
Wake,0.021707,0.160243
Wake,0.212495,0.234360
Wake,0.126611,0.050402
Wake,0.098281,0.188354
Wake,0.090843,0.063741
Wake,0.025706,0.169813
Wake,0.015623,0.112594
Wake,0.012964,0.142919
Wake,0.015062,0.171301
Wake,0.030291,0.140258
Wake,0.044140,0.207235
Wake,0.044698,0.122661
Wake,0.043493,0.175499
Wake,0.016692,0.126692
Wake,0.285227,0.071916
Wake,0.083073,0.250771
Wake,0.030535,0.169831
Wake,0.030853,0.157016
Wake,0.034612,0.105134
Wake,0.027317,0.182857
Wake,0.035007,0.110625
Wake,0.013575,0.162190
Wake,0.029838,0.178654
Wake,0.007687,0.122478
Wake,0.016862,0.133043
Wake,0.099117,0.135224
Wake,0.116115,0.297879
Wake,0.084948,0.138272
Wake,0.247389,0.303788
Wake,0.015394,0.103945
Wake,0.150449,0.091311
Wake,0.085990,0.254341
Wake,0.009352,0.151517
Wake,0.071200,0.126267
Wake,0.065646,0.206950
Wake,0.072990,0.137874
Wake,0.119960,0.252166
Wake,0.167854,0.128239
Wake,0.082759,0.255696
Wake,0.031239,0.149572
Wake,0.028451,0.178496
Wake,0.017942,0.149647
Wake,0.035153,0.114872
Wake,0.023090,0.176886
Wake,0.044478,0.115957
Wake,0.060774,0.159392
Wake,0.021672,0.215820
Wake,0.015784,0.210349
Wake,0.006579,0.181784
Wake,0.029082,0.162241
Wake,0.111337,0.254993
Wake,0.084955,0.120278
Wake,0.060049,0.189334
Wake,0.184463,0.309259
Wake,0.032607,0.131736
Wake,0.008376,0.150667
Wake,0.019502,0.152614
Wake,0.031202,0.204986
Wake,0.066377,0.144565
Wake,0.011631,0.190838
Wake,0.059607,0.232036
Wake,0.048383,0.136688
Wake,0.018177,0.152756
Wake,0.061078,0.232152
Wake,0.038892,0.131430
Wake,0.039609,0.198739
Wake,0.014300,0.226295
Wake,0.084080,0.180090
Wake,0.124834,0.317442
Wake,0.029506,0.170234
Wake,0.035747,0.227012
Wake,0.437462,0.123846
Wake,0.299231,0.476824
Wake,0.055639,0.217717
Wake,0.051109,0.208067
Wake,0.036897,0.275367
Wake,0.069903,0.242468
Wake,0.314111,0.102877
Wake,0.026819,0.332579
Wake,0.046103,0.301004
Wake,0.070978,0.250525
Wake,0.014184,0.151794
Wake,0.057749,0.158977
Wake,0.015418,0.246800
Wake,0.107098,0.279984
Wake,0.044164,0.157716
Wake,0.046257,0.247219
Wake,0.028449,0.171370
Wake,0.067114,0.171882
Wake,0.015327,0.211174
Wake,0.058607,0.280088
Wake,0.026301,0.218987
Wake,0.057685,0.254123
Wake,0.082891,0.276076
Wake,0.005392,0.166292
Wake,0.193915,0.115478
Wake,0.249095,0.329785
Wake,0.087309,0.113612
Wake,0.039593,0.216611
Wake,0.002970,0.168283
Wake,0.031563,0.159171
Wake,0.027129,0.244120
Wake,0.074456,0.208297
Wake,0.045600,0.111921
Wake,0.037107,0.153794
Wake,0.027430,0.219566
Wake,0.041780,0.183072
Wake,0.028428,0.198699
Wake,0.023326,0.204236
Wake,0.045506,0.204921
Wake,0.051119,0.235308
Wake,0.069349,0.337340
Wake,0.038409,0.254010
Wake,0.015853,0.181628
Wake,0.012538,0.205294
Wake,0.016652,0.176920
Wake,0.033746,0.186221
Wake,0.014641,0.231777
Wake,0.101874,0.240939
Wake,0.018002,0.235231
Wake,0.011601,0.210629
Wake,0.010590,0.220449
Wake,0.008479,0.196942
Wake,0.013431,0.194764
Wake,0.018987,0.155816
Wake,0.025124,0.186412
Wake,0.051191,0.214191
Wake,0.076709,0.261459
Wake,0.063370,0.148411
Wake,0.094385,0.258802
Wake,0.038121,0.219219
Wake,0.095346,0.294019
Wake,0.013910,0.163880
Wake,0.018455,0.188998
Wake,0.041099,0.167763
Wake,0.048404,0.228505
Wake,0.047389,0.156895
Wake,0.047220,0.220037
Wake,0.041601,0.126804
Wake,0.035110,0.210640
Wake,0.029382,0.151703
Wake,0.021201,0.179724
Wake,0.007961,0.191893
Wake,0.017313,0.173611
Wake,0.176515,0.117625
Wake,0.116247,0.229640
Wake,0.052023,0.201900
Wake,0.008113,0.116153
Wake,0.076810,0.115848
Wake,0.019105,0.207025
Wake,0.060025,0.257589
Wake,0.057653,0.156063
Wake,0.044666,0.257797
Wake,0.019403,0.189383
Wake,0.057847,0.169951
Wake,0.026143,0.225268
Wake,0.026049,0.186140
Wake,0.092190,0.267630
Wake,0.032052,0.151613
Wake,0.038600,0.192277
Wake,0.017923,0.198484
Wake,0.019240,0.201572
Wake,0.058106,0.207004
Wake,0.015387,0.128413
Wake,0.007584,0.161092
Wake,0.150584,0.127875
Wake,0.028013,0.280355
Wake,0.059802,0.208031
Wake,0.021202,0.292086
Wake,0.021452,0.282263
Wake,0.129305,0.264874
Wake,0.070260,0.167634
Wake,0.010692,0.185504
Wake,0.060932,0.192078
Wake,0.052946,0.114280
Wake,0.044481,0.183148
Wake,0.037343,0.220450
Wake,0.081215,0.308381
Wake,0.008451,0.187319
Wake,0.015223,0.192092
Wake,0.009330,0.224472
Wake,0.024010,0.219657
Wake,0.166557,0.300813
Wake,0.098568,0.119741
Wake,0.024482,0.207770
Wake,0.118327,0.208033
Wake,0.041319,0.349714
Wake,0.081968,0.353319
Wake,0.022846,0.231277
Wake,0.167193,0.278643
Wake,0.076172,0.110904
Wake,0.019607,0.188468
Wake,0.005853,0.235551
Wake,0.138882,0.213569
Wake,0.150936,0.254941
Wake,0.020208,0.180240
Wake,0.053322,0.116412
Wake,0.008242,0.193697
Wake,0.014303,0.197016
Wake,0.067903,0.152975
Wake,0.072905,0.227576
Wake,0.204704,0.338601
Wake,0.051936,0.135338
Wake,0.034855,0.207429
Wake,0.023801,0.212138
Wake,0.034234,0.208453
Wake,0.075539,0.130610
Wake,0.045774,0.232546
Wake,0.072802,0.196062
Wake,0.069243,0.265353
Wake,0.562480,0.425123
Wake,0.156882,0.097651
Wake,0.020596,0.197266
Wake,0.020947,0.224600
Wake,0.121116,0.282773
Wake,0.042346,0.129275
Wake,0.006865,0.199511
Wake,0.026824,0.202531
Wake,0.069955,0.171251
Wake,0.108321,0.282735
Wake,0.075213,0.151995
Wake,0.012042,0.201736
Wake,0.018011,0.172040
Wake,0.023507,0.207638
Wake,0.032304,0.203560
Wake,0.020548,0.216895
Wake,0.014235,0.156936
Wake,0.009317,0.188023
Wake,0.011948,0.161015
Wake,0.018791,0.152840
Wake,0.020190,0.199006
Wake,0.015393,0.158659
Wake,0.038814,0.169328
Wake,0.049593,0.230935
Wake,0.024136,0.175217
Wake,0.044462,0.212471
Wake,0.087809,0.279472
Wake,0.028629,0.207744
Wake,0.066454,0.240438
Wake,0.017634,0.170068
Wake,0.026501,0.126121
Wake,0.038636,0.198448
Wake,0.012346,0.147458
Wake,0.021064,0.115379
Wake,0.019835,0.145569
Wake,0.020972,0.125212
Wake,0.036652,0.190122
Wake,0.019176,0.132736
Wake,0.019453,0.153731
Wake,0.017043,0.141339
Wake,0.011794,0.193104
Wake,0.020924,0.176837
Wake,0.020416,0.173909
Wake,0.019055,0.160549
Wake,0.009097,0.196337
Wake,0.010526,0.158796
Wake,0.085851,0.169224
Wake,0.010324,0.235832
Wake,0.034906,0.223158
Wake,0.104320,0.144676
Wake,0.327483,0.299816
Wake,0.067952,0.094872
Wake,0.101060,0.182789
Wake,0.031073,0.113185
Wake,0.091540,0.137862
Wake,0.313700,0.187005
Wake,0.034356,0.190914
Wake,0.043325,0.269571
Wake,0.041058,0.230089
Wake,0.126040,0.153131
Wake,0.053866,0.270744
Wake,0.065006,0.165814
Wake,0.160215,0.294166
Wake,0.085685,0.141574
Wake,0.124765,0.226163
Wake,0.030225,0.116208
Wake,0.011474,0.175901
Wake,0.060870,0.139769
Wake,0.090010,0.185005
Wake,0.018841,0.202179
Wake,0.104874,0.284561
Wake,0.045904,0.148000
Wake,0.019311,0.217412
Wake,0.033874,0.237015
Wake,0.014059,0.179838
Wake,0.029353,0.180818
Wake,0.024811,0.223205
Wake,0.078281,0.268730
Wake,0.028240,0.150033
Wake,0.046199,0.211521
Wake,0.096727,0.118978
Wake,0.016603,0.222853
Wake,0.026026,0.254742
Wake,0.020063,0.208056
Wake,0.025995,0.231321
Wake,0.059520,0.196766
Wake,0.028300,0.190458
Wake,0.011341,0.167498
Wake,0.016692,0.174199
Wake,0.083504,0.131805
Wake,0.090903,0.274789
Wake,0.007722,0.164100
Wake,0.030425,0.153157
Wake,0.007092,0.167126
Wake,0.018359,0.150255
Wake,0.023327,0.189655
Wake,0.024761,0.178006
Wake,0.030097,0.115409
Wake,0.043806,0.152759
Wake,0.041736,0.234141
Wake,0.109700,0.137409
Wake,0.233358,0.317262
Wake,0.130306,0.099544
Wake,0.038695,0.237768
Wake,0.024280,0.177563
Wake,0.016568,0.141599
Wake,0.017655,0.147991
Wake,0.026701,0.153902
Wake,0.039533,0.196002
Wake,0.033387,0.161813
Wake,0.031868,0.095432
Wake,0.006887,0.140804
Wake,0.044838,0.141940
Wake,0.047625,0.216360
Wake,0.120070,0.118403
Wake,0.052019,0.255064
Wake,0.017534,0.221122
Wake,0.035258,0.220752
Wake,0.046966,0.159614
Wake,0.022417,0.133823
Wake,0.112819,0.129382
Wake,0.122501,0.130194
Wake,0.096988,0.217181
Wake,0.040079,0.140875
Wake,0.007243,0.090446
Wake,0.113801,0.073902
Wake,0.158197,0.196615
Wake,0.086437,0.146336
Wake,0.038190,0.118097
Wake,0.135459,0.136445
Wake,0.034167,0.247642
Wake,0.051385,0.238839
Wake,0.027190,0.196398
Wake,0.102600,0.135940
Wake,0.047465,0.202261
Wake,0.136591,0.307244
Wake,0.025995,0.178910
Wake,0.038232,0.137957
Wake,0.037626,0.115695
Wake,0.036655,0.136123
Wake,0.065566,0.123376
Wake,0.050701,0.225112
Wake,0.022534,0.145015
Wake,0.034980,0.167644
Wake,0.111572,0.100067
Wake,0.040742,0.200303
Wake,0.071161,0.126358
Wake,0.019510,0.191713
Wake,0.025000,0.232745
Wake,0.083788,0.219684
Wake,0.051247,0.141676
Wake,0.043974,0.191849
Wake,0.020101,0.155475
Wake,0.092218,0.118040
Wake,0.094852,0.260493
Wake,0.005038,0.138461
Wake,0.013820,0.146900
Wake,0.016132,0.140964
Wake,0.004848,0.128425
Wake,0.009769,0.141949
Wake,0.032086,0.165984
Wake,0.032165,0.181287
Wake,0.010325,0.143139
Wake,0.006869,0.147211
Wake,0.019127,0.139964
Wake,0.014515,0.164884
Wake,0.027339,0.197849
Wake,0.046578,0.128891
Wake,0.018696,0.193201
Wake,0.026667,0.168563
Wake,0.076263,0.249207
Wake,0.024385,0.134680
Wake,0.056940,0.142642
Wake,0.009262,0.236792
Wake,0.076469,0.256584
Wake,0.055248,0.147882
Wake,0.079861,0.220679
Wake,0.034208,0.113634
Wake,0.019238,0.180072
Wake,0.014410,0.126224
Wake,0.027479,0.155184
Wake,0.031136,0.183372
Wake,0.012009,0.167528
Wake,0.057896,0.123727
Wake,0.012027,0.201304
Wake,0.077844,0.196263
Wake,0.111957,0.250422
Wake,0.038991,0.167162
Wake,0.023563,0.219008
Wake,0.046805,0.189655
Wake,0.029199,0.196466
Wake,0.028343,0.160307
Wake,0.031873,0.177892
Wake,0.009364,0.135400
Wake,0.045461,0.125155
Wake,0.008999,0.191182
Wake,0.018429,0.193775
Wake,0.020070,0.139980
Wake,0.036010,0.194488
Wake,0.026867,0.149308
Wake,0.089297,0.106390
Wake,0.027106,0.212470
Wake,0.019704,0.158661
Wake,0.025387,0.158597
Wake,0.065298,0.229252
Wake,0.007806,0.141976
Wake,0.028945,0.138225
Wake,0.036793,0.082812
Wake,0.008771,0.143392
Wake,0.074108,0.095783
Wake,0.095162,0.222829
Wake,0.006043,0.117914
Wake,0.006199,0.111717
Wake,0.009502,0.112983
Wake,0.059715,0.110090
Wake,0.047632,0.204703
Wake,0.024094,0.121992
Wake,0.048191,0.162306
Wake,0.003060,0.130486
Wake,0.063539,0.168796
Wake,0.021727,0.098648
Wake,0.096758,0.098434
Wake,0.090028,0.231245
Wake,0.031900,0.114322
Wake,0.014675,0.179182
Wake,0.103659,0.157501
Wake,0.124973,0.206597
Wake,0.042857,0.219471
Wake,0.027925,0.168228
Wake,0.049307,0.110446
Wake,0.021559,0.181567
Wake,0.128776,0.224750
Wake,0.169913,0.070204
Wake,0.038249,0.185853
Wake,0.068750,0.148324
Wake,0.006940,0.238724
Wake,0.064021,0.225763
Wake,0.006476,0.181759
Wake,0.067337,0.160887
Wake,0.021444,0.224396
Wake,0.032279,0.164300
Wake,0.026216,0.225238
Wake,0.007481,0.175337
Wake,0.006378,0.157384
Wake,0.068355,0.133302
Wake,0.068463,0.252186
Wake,0.101149,0.155891
Wake,0.056003,0.254761
Wake,0.036273,0.199867
Wake,0.014709,0.149977
Wake,0.020053,0.146613
Wake,0.023910,0.201608
Wake,0.023648,0.167292
Wake,0.014551,0.107837
Wake,0.034936,0.115404
Wake,0.021466,0.189749
Wake,0.005241,0.156486
Wake,0.054735,0.125563
Wake,0.105289,0.230382
Wake,0.020784,0.109154
Wake,0.043863,0.150587
Wake,0.024918,0.082460
Wake,0.004162,0.127004
Wake,0.041148,0.107473
Wake,0.008986,0.167617
Wake,0.019218,0.159014
Wake,0.032989,0.127430
Wake,0.018642,0.171728
Wake,0.026114,0.137897
Wake,0.032633,0.210165
Wake,0.117493,0.128125
Wake,0.107772,0.222241
Wake,0.014706,0.127631
Wake,0.015279,0.159245
Wake,0.011532,0.168715
Wake,0.022187,0.161870
Wake,0.036377,0.109245
Wake,0.064367,0.183361
Wake,0.198396,0.074156
Wake,0.052452,0.250776
Wake,0.036492,0.156271
Wake,0.021510,0.213995
Wake,0.019571,0.205649
Wake,0.043660,0.205412
Wake,0.018705,0.189014
Wake,0.007211,0.163960
Wake,0.022892,0.136835
Wake,0.062619,0.153782
Wake,0.047080,0.247602
Wake,0.030634,0.156493
Wake,0.120129,0.256504
Wake,0.038315,0.146171
Wake,0.118219,0.064224
Wake,0.009982,0.171472
Wake,0.016743,0.139974
Wake,0.028068,0.176782
Wake,0.029153,0.166927
Wake,0.066995,0.103292
Wake,0.011051,0.176848
Wake,0.009701,0.152414
Wake,0.021717,0.156978
Wake,0.014409,0.125536
Wake,0.025103,0.094548
Wake,0.028375,0.158951
Wake,0.085419,0.091943
Wake,0.023066,0.183926
Wake,0.039050,0.184300
Wake,0.047126,0.244353
Wake,0.024861,0.179086
Wake,0.032756,0.118017
Wake,0.009497,0.174494
Wake,0.079225,0.191711
Wake,0.011159,0.101503
Wake,0.006505,0.129681
Wake,0.026592,0.126963
Wake,0.197748,0.050355
Wake,0.081696,0.207051
Wake,0.036339,0.095801
Wake,0.061942,0.125228
Wake,0.094113,0.256540
Wake,0.055095,0.122724
Wake,0.083055,0.233606
Wake,0.010313,0.135667
Wake,0.173742,0.078228
Wake,0.018392,0.224228
Wake,0.056504,0.214511
Wake,0.010119,0.202481
Wake,0.010776,0.199937
Wake,0.017969,0.209001
Wake,0.052625,0.161503
Wake,0.097993,0.237368
Wake,0.015353,0.163519
Wake,0.056717,0.133761
Wake,0.011260,0.188641
Wake,0.013383,0.170103
Wake,0.014031,0.162148
Wake,0.047416,0.219117
Wake,0.009338,0.158192
Wake,0.046475,0.140405
Wake,0.006788,0.215082
Wake,0.027215,0.244720
Wake,0.093903,0.179916
Wake,0.011538,0.183701
Wake,0.011940,0.166949
Wake,0.019836,0.181868
Wake,0.018667,0.184778
Wake,0.024775,0.142698
Wake,0.137115,0.151816
Wake,0.044183,0.290813
Wake,0.014302,0.207115
Wake,0.044068,0.228484
Wake,0.074379,0.145083
Wake,0.059494,0.276211
Wake,0.047400,0.173774
Wake,0.008372,0.182736
Wake,0.015984,0.188258
Wake,0.017490,0.174660
Wake,0.009208,0.166938
Wake,0.051986,0.161142
Wake,0.080820,0.199270
Wake,0.010320,0.114639
Wake,0.036084,0.128404
Wake,0.011266,0.177254
Wake,0.083241,0.244547
Wake,0.049058,0.118571
Wake,0.022069,0.195483
Wake,0.008102,0.154996
Wake,0.035516,0.178949
Wake,0.043466,0.099680
Wake,0.008119,0.154376
Wake,0.014527,0.152018
Wake,0.017939,0.170121
Wake,0.018036,0.220535
Wake,0.051934,0.205109
Wake,0.046591,0.226674
Wake,0.036141,0.162658
Wake,0.030599,0.102481
Wake,0.013525,0.147040
Wake,0.016245,0.183636
Wake,0.006533,0.163913
Wake,0.015745,0.176626
Wake,0.106850,0.129866
Wake,0.034910,0.232627
Wake,0.038059,0.212962
Wake,0.033603,0.164692
Wake,0.024530,0.194745
Wake,0.019674,0.159350
Wake,0.035502,0.165618
Wake,0.039480,0.171883
Wake,0.036220,0.165341
Wake,0.106083,0.238252
Wake,0.018547,0.158579
Wake,0.028055,0.151975
Wake,0.029473,0.161587
Wake,0.034298,0.176345
Wake,0.098067,0.237950
Wake,0.032993,0.159374
Wake,0.059771,0.237058
Wake,0.072577,0.134016
Wake,0.069398,0.235389
Wake,0.135713,0.121124
Wake,0.106728,0.297546
Wake,0.013092,0.174593
Wake,0.051271,0.137606
Wake,0.018019,0.219763
Wake,0.021086,0.202624
Wake,0.076169,0.145180
Wake,0.020850,0.236967
Wake,0.059623,0.305748
Wake,0.042495,0.226598
Wake,0.014049,0.154283
Wake,0.063299,0.153476
Wake,0.036881,0.242465
Wake,0.074492,0.218467
Wake,0.012208,0.121668
Wake,0.007901,0.149498
Wake,0.069216,0.148390
Wake,0.041424,0.184228
Wake,0.025302,0.248089
Wake,0.264166,0.316732
Wake,0.010659,0.116270
Wake,0.128263,0.074526
Wake,0.037891,0.209126
Wake,0.030103,0.162615
Wake,0.072926,0.093903
Wake,0.044009,0.187196
Wake,0.024041,0.188261
Wake,0.007180,0.151266
Wake,0.250487,0.097985
Wake,0.116255,0.256572
Wake,0.059078,0.377972
Wake,0.031060,0.292439
Wake,0.037402,0.262468
Wake,0.016199,0.191661
Wake,0.035503,0.209644
Wake,0.011425,0.145575
Wake,0.025464,0.186343
Wake,0.032528,0.139837
Wake,0.049612,0.198927
Wake,0.014384,0.158688
Wake,0.040063,0.139327
Wake,0.061654,0.212107
Wake,0.057971,0.146373
Wake,0.019336,0.208736
Wake,0.038196,0.203175
Wake,0.007071,0.136874
Wake,0.009654,0.132784
Wake,0.059362,0.171674
Wake,0.024589,0.084089
Wake,0.007793,0.133309
Wake,0.093200,0.080654
Wake,0.016152,0.181779
Wake,0.029292,0.163274
Wake,0.045240,0.125244
Wake,0.004485,0.195594
Wake,0.018517,0.191311
Wake,0.048470,0.200515
Wake,0.005620,0.156761
Wake,0.022352,0.155868
Wake,0.023044,0.182863
Wake,0.019132,0.151396
Wake,0.095317,0.184665
Wake,0.062099,0.152509
Wake,0.037056,0.245697
Wake,0.051408,0.168367
Wake,0.083295,0.257146
Wake,0.025952,0.192887
Wake,0.049634,0.121708
Wake,0.011624,0.164328
Wake,0.027622,0.207722
Wake,0.108569,0.221998
Wake,0.054944,0.120164
Wake,0.023063,0.158864
Wake,0.065860,0.219088
Wake,0.065641,0.195265
Wake,0.027094,0.097016
Wake,0.011889,0.149542
Wake,0.012614,0.131538
Wake,0.075345,0.098017
Wake,0.076850,0.184617
Wake,0.038732,0.165421
Wake,0.049901,0.168710
Wake,0.097057,0.189386
Wake,0.017392,0.085493
Wake,0.005226,0.117570
Wake,0.019038,0.126060
Wake,0.106814,0.065765
Wake,0.015734,0.158718
Wake,0.008197,0.180751
Wake,0.004348,0.161513
Wake,0.009792,0.183296
Wake,0.006849,0.158094
Wake,0.010646,0.174075
Wake,0.015002,0.173504
Wake,0.095009,0.216558
Wake,0.010824,0.103904
Wake,0.023615,0.098923
Wake,0.038679,0.121687
Wake,0.056013,0.198792
Wake,0.021821,0.150422
Wake,0.038144,0.114948
Wake,0.015352,0.151671
Wake,0.018983,0.188463
Wake,0.098897,0.204183
Wake,0.014908,0.085836
Wake,0.054360,0.094533
Wake,0.060972,0.205825
Wake,0.113108,0.086781
Wake,0.013828,0.194754
Wake,0.017905,0.168977
Wake,0.041203,0.159558
Wake,0.032272,0.261659
Wake,0.070754,0.218940
Wake,0.006184,0.135492
Wake,0.012512,0.155729
Wake,0.002575,0.158502
Wake,0.038877,0.192292
Wake,0.009114,0.135545
Wake,0.249469,0.092388
Wake,0.091004,0.296268
Wake,0.028174,0.222571
Wake,0.011933,0.175368
Wake,0.083194,0.119518
Wake,0.076790,0.257208
Wake,0.007304,0.154744
Wake,0.028005,0.160221
Wake,0.113067,0.082936
Wake,0.044120,0.167958
Wake,0.149947,0.207941
Wake,0.139198,0.259882
Wake,0.012550,0.137487
Wake,0.044954,0.111564
Wake,0.047067,0.186868
Wake,0.030878,0.128535
Wake,0.151412,0.086878
Wake,0.021013,0.233774
Wake,0.022230,0.195401
Wake,0.050463,0.240619
Wake,0.050128,0.139917
Wake,0.150786,0.247281
Wake,0.245816,0.067081
Wake,0.125380,0.207436
Wake,0.282885,0.121267
Wake,0.243807,0.255320
Wake,0.013169,0.161319
Wake,0.065202,0.194047
Wake,0.142672,0.099787
Wake,0.074227,0.252312
Wake,0.008707,0.158537
Wake,0.101565,0.126840
Wake,0.019901,0.233109
Wake,0.078261,0.293220
Wake,0.031195,0.207187
Wake,0.029011,0.214944
Wake,0.049681,0.222180
